evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.5863763332160946,0.00829395189880539,31.6705495022046,47.2719368189937,0,0
2,15.929248936447527,0.4797288820422656,0.005551372598228692,30.782677279120044,42.0669420467902,0,1
3,21.14508097327622,0.3864330290909476,0.0036021112686764503,31.718044472679477,36.63134449207893,0,0
4,28.068771550388085,0.30714262682937804,0.002275562844772601,34.92938229552878,54.74060779234854,0,0
5,37.259537447200664,0.24139397388528505,0.0014055991764735107,45.84995880763199,89.80792768597965,0,0
6,49.45970393777897,0.18797831681872273,0.0008523621548389132,63.04508770297226,138.17271966588916,0,0
7,65.65466136232293,0.14529889589913883,0.0005092526221952706,89.09201644373793,196.78221206811364,0,0
8,87.15245372321706,0.1116492424648188,0.0003006908460425795,122.36574578789086,261.48429659871914,0,0
9,115.68942756494565,0.08539660505073819,0.00017590972787696275,159.00722948195167,327.2401038872449,0,0
10,153.5704742497611,0.0650825803526467,0.00010217347680819308,195.7904003635597,391.1039149913685,0,0
11,203.85519280106243,0.0494635325784828,5.901724124010603e-05,235.3844483993917,451.13303224933946,0,0
12,270.6050094263024,0.03751303380300196,3.481056309190046e-05,276.6667952390511,499.20976462749013,0,0
13,359.2112132167749,0.028403648292790084,2.6357425425218374e-05,323.3616088463176,534.9129070123512,1,0
