evaluation,lambda_minutes,candidate_kp,candidate_ki,mean_training_objective,worst_training_objective,formula_default,selected
1,12.0,0.586376333102598,0.008293951897200046,31.6705495022046,47.2719368189937,0,0
2,15.92924893615831,0.4797288819558334,0.005551372597302826,30.782677279120044,42.0669420467902,0,1
3,21.14508097250837,0.38643302902721466,0.003602111268185495,31.718044472679477,36.63134449207893,0,0
4,28.068771548859182,0.3071426267838452,0.002275562844538361,34.92938229552878,54.74060779234854,0,0
5,37.25953744449464,0.24139397385377612,0.00140559917637863,45.84995880763199,89.80792768597965,0,0
6,49.4597039332889,0.18797831679764704,0.0008523621548127634,63.04508770297226,138.17271966588916,0,0
7,65.65466135517059,0.1452988958855847,0.000509252622198829,89.09201644373793,196.78221206811364,0,0
8,87.15245371214037,0.11164924245653106,0.00030069084605613937,122.36574578789086,261.48429659871914,0,0
9,115.68942754814144,0.08539660504603325,0.0001759097278916276,159.00722948195167,327.2401038872449,0,0
10,153.57047422466644,0.06508258035030562,0.0001021734768206188,195.7904003635597,391.1039149913685,0,0
11,203.85519276404935,0.04946353257764647,5.901724124953345e-05,235.3844483993917,451.13303224933946,0,0
12,270.60500937225663,0.03751303380307936,3.481056309955677e-05,276.6667952390511,499.20976462749013,0,0
13,359.21121313851046,0.028403648293384688,2.6357425431512862e-05,323.3616088463176,534.9129070123512,1,0
