algorithm,display_name,wall_clock_second,simulated_minute,temperature_c,measurement_c,setpoint_c,comfort_low_c,comfort_high_c,requested_command_pct,command_pct,kp,ki,candidate_temperature_c,candidate_kp,candidate_ki,door_open,in_comfort_band,fallback_active,status
llm,LLM Agent 自动调参,0.0,0.0,30.04807303777551,29.986622318270214,22.0,21.5,22.5,100.0,30.0,0.4057413496795382,0.0027688666378689877,30.04807303777551,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,0.30000000000000004,1.0,30.095659537169247,30.006728588783297,22.0,21.5,22.5,100.0,35.0,0.4057413496795382,0.0027688666378689877,30.095659537169247,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,0.6000000000000001,2.0,30.142764979511394,30.044181485437278,22.0,21.5,22.5,100.0,40.0,0.4057413496795382,0.0027688666378689877,30.142764979511394,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,0.9,3.0,30.189394784268664,30.054548204914592,22.0,21.5,22.5,100.0,45.0,0.4057413496795382,0.0027688666378689877,30.189394784268664,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,1.2000000000000002,4.0,30.201623275256168,30.080868187485788,22.0,21.5,22.5,100.0,50.0,0.4057413496795382,0.0027688666378689877,30.201623275256168,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,1.5,5.0,30.185461933405115,30.108350767147428,22.0,21.5,22.5,100.0,55.00000000000001,0.4057413496795382,0.0027688666378689877,30.185461933405115,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,1.8,6.0,30.14497469693486,30.147424976000814,22.0,21.5,22.5,100.0,60.0,0.4057413496795382,0.0027688666378689877,30.14497469693486,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,2.1,7.0,30.082926513142496,30.161444927071475,22.0,21.5,22.5,100.0,65.0,0.4057413496795382,0.0027688666378689877,30.082926513142496,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,2.4000000000000004,8.0,30.001215713331717,30.139549017692477,22.0,21.5,22.5,100.0,70.0,0.4057413496795382,0.0027688666378689877,30.001215713331717,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,2.6999999999999997,9.0,29.901162269755055,30.099416765121106,22.0,21.5,22.5,100.0,75.0,0.4057413496795382,0.0027688666378689877,29.901162269755055,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,3.0,10.0,29.78369997381979,30.025256586684872,22.0,21.5,22.5,100.0,80.0,0.4057413496795382,0.0027688666378689877,29.78369997381979,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,3.3,11.0,29.649504561725315,29.929069671231677,22.0,21.5,22.5,100.0,85.0,0.4057413496795382,0.0027688666378689877,29.649504561725315,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,3.6,12.0,29.4990791383113,29.84223678485684,22.0,21.5,22.5,100.0,90.0,0.4057413496795382,0.0027688666378689877,29.4990791383113,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,3.9000000000000004,13.0,29.332811132970445,29.737896934254,22.0,21.5,22.5,100.0,95.0,0.4057413496795382,0.0027688666378689877,29.332811132970445,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,4.2,14.0,29.151010276862554,29.601691095026013,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,29.151010276862554,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,4.5,15.0,28.953933927588526,29.425089061571885,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,28.953933927588526,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,4.800000000000001,16.0,28.741803958764248,29.27148963455574,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,28.741803958764248,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,5.1,17.0,28.514818026121816,29.09657105412921,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,28.514818026121816,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,5.3999999999999995,18.0,28.2731570845572,28.892473508964997,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,28.2731570845572,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,5.7,19.0,28.022645578151693,28.69653928930366,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,28.022645578151693,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,6.0,20.0,27.767156059747407,28.491154755004214,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,27.767156059747407,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,6.300000000000001,21.0,27.50925993824036,28.26106823732956,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,27.50925993824036,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,6.6,22.0,27.250661308795088,28.012151030048805,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,27.250661308795088,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,6.8999999999999995,23.0,26.992486171688466,27.750539312395752,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,26.992486171688466,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,7.2,24.0,26.735475243587526,27.50488865791184,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,26.735475243587526,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,7.5,25.0,26.48011249713111,27.231283253268536,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,26.48011249713111,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,7.800000000000001,26.0,26.226710852728324,26.99207629142463,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,26.226710852728324,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,8.1,27.0,25.975469305182344,26.746970626433743,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,25.975469305182344,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,8.4,28.0,25.72651100687839,26.490853619514912,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,25.72651100687839,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,8.7,29.0,25.47990865536163,26.249342990257155,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,25.47990865536163,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,9.0,30.0,25.235701417188686,25.986441905184254,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,25.235701417188686,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,9.3,31.0,24.99390620930837,25.74708498335774,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,24.99390620930837,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,9.600000000000001,32.0,24.7545252188086,25.50250142867474,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,24.7545252188086,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,9.9,33.0,24.51755091492058,25.252264280906502,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,24.51755091492058,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,10.2,34.0,24.28296938920761,25.017176510307962,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,24.28296938920761,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,10.5,35.0,24.05076258122316,24.763671935100874,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,24.05076258122316,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,10.799999999999999,36.0,23.82090976116121,24.521658010258612,22.0,21.5,22.5,100.0,100.0,0.4057413496795382,0.0027688666378689877,23.82090976116121,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,11.1,37.0,23.593388517180752,24.267187455833167,22.0,21.5,22.5,92.61692380145189,95.0,0.4057413496795382,0.0027688666378689877,23.593388517180752,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,11.4,38.0,23.3681754125255,24.043354136661577,22.0,21.5,22.5,84.10085800889412,90.0,0.4057413496795382,0.0027688666378689877,23.3681754125255,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,11.700000000000001,39.0,23.145246422519396,23.826251063247856,22.0,21.5,22.5,75.79775317038818,85.0,0.4057413496795382,0.0027688666378689877,23.145246422519396,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,12.0,40.0,22.92457722482488,23.608573448807643,22.0,21.5,22.5,67.41106479828531,80.0,0.4057413496795382,0.0027688666378689877,22.92457722482488,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,12.299999999999999,41.0,22.711798564302132,23.386166732948748,22.0,21.5,22.5,58.77091577338571,75.0,0.4057413496795382,0.0027688666378689877,22.711798564302132,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,12.600000000000001,42.0,22.510597648589286,23.17040404234327,22.0,21.5,22.5,50.34060051427737,70.0,0.4057413496795382,0.0027688666378689877,22.510597648589286,0.4057413496795382,0.0027688666378689877,0,0,0,降温中
llm,LLM Agent 自动调参,12.9,43.0,22.323366738925948,22.962779559471308,22.0,21.5,22.5,42.18299754376293,65.0,0.4057413496795382,0.0027688666378689877,22.323366738925948,0.4057413496795382,0.0027688666378689877,0,1,0,进入目标带
llm,LLM Agent 自动调参,13.2,44.0,22.1516355356624,22.729898096861913,22.0,21.5,22.5,32.93613269725934,60.0,0.4057413496795382,0.0027688666378689877,22.1516355356624,0.4057413496795382,0.0027688666378689877,0,1,0,进入目标带
