case,controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
初次快速降温,Bayesian Auto-tune,2.6123315491068446,5.516020899169816,3.666246285468304,4.205521352370062,0.8063168733507879,7.7257615981060255,2.5,2.5,1.0,14.187682016094561,5.180000000000001,0.050000000000000044,0.0,0.0,2.0,2.0,0.09246798781012723,0.0,0.0,1.0,62.57251819200358
初次快速降温,Ziegler-Nichols,2.679854863127307,6.662452689172528,7.053756540697378,4.900952125499671,1.4555773129673923,7.7257615981060255,4.0,4.0,0.0,14.965650429696469,7.7,0.050000000000000044,0.0,0.0,3.0,4.0,0.193881820216594,0.0,0.0,1.0,79.6579954138871
初次快速降温,IMC PI,2.612702976272853,5.562565088279376,3.8871501491549054,4.1870592647823965,0.684196127006004,7.7257615981060255,2.5166666666666666,2.5166666666666666,1.0,14.099517338199789,4.67,0.050000000000000044,0.0,0.0,2.0,2.0,0.08085439988980904,0.0,0.0,1.0,62.4015606024623
初次快速降温,FNN Self-tuning PI,2.6098220699701153,5.480860373481679,3.6262916584132956,4.170012398764966,0.7586377583771444,7.7257615981060255,2.5166666666666666,2.5166666666666666,1.0,14.155486406783226,4.620000000000001,0.050000000000000044,0.0,0.0,2.0,2.0,0.08134853394397479,79.68464730290457,0.0,1.0,61.89690510056026
初次快速降温,RL Self-tuning PI,2.603385683806275,5.380980847568859,3.484127113116644,4.110918509735281,0.22889315215141437,7.7257615981060255,1.7333333333333334,1.7333333333333334,1.0,14.128423489254313,3.75,0.050000000000000044,0.0,0.0,1.0,1.0,0.0630765689295983,53.26099585062241,0.0,1.0,58.94676353587594
设定温度突变,Bayesian Auto-tune,0.8696357301627704,3.314002183721726,7.113192678233478,1.3206503471858264,1.2969288928594516,2.7348194149284915,5.0,4.0,0.0,13.218514297553016,8.290000000000001,0.050000000000000044,0.0,0.0,5.0,5.0,0.09702704164413198,0.0,0.0,1.0,37.074480178844475
设定温度突变,Ziegler-Nichols,1.1082208663654067,4.777649940772077,11.196369253073637,2.564399170902778,1.7650109183795593,2.261505696792092,5.0,4.0,0.0,14.673440062352617,9.7,0.050000000000000044,0.0,0.0,4.0,5.0,0.18132389267226634,0.0,0.0,1.0,60.16190655112695
设定温度突变,IMC PI,0.8884719283353245,3.2733620230605376,6.845612304801552,1.354643176485067,1.1770975721638273,2.8223648339268586,5.0,4.0,0.0,13.11708549283979,7.920000000000001,0.050000000000000044,0.0,0.0,5.0,5.0,0.08714336486352249,0.0,0.0,1.0,36.534223622462626
设定温度突变,FNN Self-tuning PI,0.8742662061722372,3.271558654639639,6.935553437911551,1.3169090367152734,1.2142148689772263,2.773536156678503,5.0,4.0,0.0,13.147792234352703,8.059999999999999,0.050000000000000044,0.0,0.0,5.0,5.0,0.09077685897506649,48.22624584717609,0.0,1.0,36.41374312502885
设定温度突变,RL Self-tuning PI,0.8750041797768396,3.1666516876429114,6.6030260647375405,1.2998743441677187,0.8486082125190322,2.7122649376697616,5.0,4.0,0.0,13.013730782035797,7.57,0.050000000000000044,0.0,0.0,5.0,5.0,0.07395342656262073,50.57607973421927,0.0,1.0,34.38498391195078
持续外界热扰动,Bayesian Auto-tune,1.0721626991283488,5.587968695551768,15.291005659640458,2.9507342473018947,1.5470508787859067,1.9686713798477236,6.0,2.8,0.0,23.839864500688698,11.299999999999999,0.050000000000000044,0.0,0.0,5.0,6.0,0.14978974685584057,0.0,0.0,1.0,71.7273917802503
持续外界热扰动,Ziegler-Nichols,1.2329917361873721,6.462125776710775,18.753279657921276,3.7859593339864537,2.2085166222201273,2.0326096020917994,6.0,2.8,0.0,22.98450770156912,10.65,0.050000000000000044,0.0,0.0,5.0,5.0,0.19562923089908765,0.0,0.0,1.0,88.97302232398128
持续外界热扰动,IMC PI,1.1132638845348497,5.6343633683760235,15.629629879799579,3.0192335140315474,1.20172895409992,2.3617797502673383,6.0,2.8,0.0,23.592656806732787,11.100000000000001,0.050000000000000044,0.0,0.0,5.0,6.0,0.14538521343451938,0.0,0.0,1.0,71.9543530605718
持续外界热扰动,FNN Self-tuning PI,1.0850707900626657,5.567465238644321,15.28632891261743,2.9435866748936785,1.335304744985418,2.165370646238518,6.0,2.8,0.0,23.71045556174077,11.18,0.050000000000000044,0.0,0.0,5.0,6.0,0.14583390857958425,66.02825484764543,0.0,1.0,70.95834539953964
持续外界热扰动,RL Self-tuning PI,1.0578812405113656,5.332314412684179,15.205967387004337,2.7511241540341045,1.2514491779889312,2.3532613613830904,6.0,2.8,0.0,23.7407985550937,10.780000000000001,0.050000000000000044,0.0,0.0,5.0,6.0,0.13202173095663783,47.82742382271467,0.0,1.0,68.15009617017876
