algorithm,ordinal,repeat_seed,scenario_index,objective,rmse_c,max_undershoot_c,failed_checks,load_ratio,window_left_h,cause
zn,1,101,1,46.41718641700896,0.9494103870406387,1.4961891104424438,comfort_held+recovery_ok,0.175,1.0,tuning
zn,3,101,3,79.31802957151356,1.4634387285979273,4.116094962202201,comfort_held+recovery_ok,0.144,1.0,tuning
zn,4,101,4,114.1558076097144,1.9339930275961494,3.4412233987775522,comfort_held+recovery_ok,0.052,1.0,tuning
imc,4,101,4,60.45122013603408,1.3769954092342143,2.8615340182771796,comfort_held+recovery_ok,0.052,1.0,tuning
bo,4,101,4,65.62132458504112,1.436785347846673,3.012547223888472,comfort_held+recovery_ok,0.052,1.0,tuning
safe-bo,4,101,4,60.45122013603408,1.3769954092342143,2.8615340182771796,comfort_held+recovery_ok,0.052,1.0,tuning
fnn,4,101,4,60.45122013603408,1.3769954092342143,2.8615340182771796,comfort_held+recovery_ok,0.052,1.0,tuning
rl,4,101,4,53.63554460720672,1.2631119500202737,2.4340625771243047,comfort_held+recovery_ok,0.052,1.0,tuning
llm,4,101,4,60.45122013603408,1.3769954092342143,2.8615340182771796,comfort_held+recovery_ok,0.052,1.0,tuning
zn,5,101,5,117.05014618369206,1.9428535206104014,3.6926158884878184,comfort_held+recovery_ok,0.15,1.0,tuning
imc,5,101,5,98.80017007795837,1.6797936362589798,3.1256226610354005,comfort_held+recovery_ok,0.15,1.0,tuning
bo,5,101,5,105.36315267886036,1.7731247600480593,3.2310461483495914,comfort_held+recovery_ok,0.15,1.0,tuning
safe-bo,5,101,5,98.80017007795837,1.6797936362589798,3.1256226610354005,comfort_held+recovery_ok,0.15,1.0,tuning
fnn,5,101,5,98.80017007795837,1.6797936362589798,3.1256226610354005,comfort_held+recovery_ok,0.15,1.0,tuning
rl,5,101,5,98.8328856417615,1.6590664006360343,3.2665881555527108,comfort_held+recovery_ok,0.15,1.0,tuning
llm,5,101,5,98.80017007795837,1.6797936362589798,3.1256226610354005,comfort_held+recovery_ok,0.15,1.0,tuning
zn,6,101,6,40.26368808960919,0.7839849733568168,1.6868553823781234,comfort_held+recovery_ok,0.128,1.0,tuning
imc,6,101,6,14.600072269897186,0.42254679587678984,0.7475825634842934,recovery_ok,0.128,1.0,tuning
bo,6,101,6,18.36970143547512,0.4709738201030527,1.0233685342476484,recovery_ok,0.128,1.0,tuning
safe-bo,6,101,6,14.600072269897186,0.42254679587678984,0.7475825634842934,recovery_ok,0.128,1.0,tuning
fnn,6,101,6,14.600072269897186,0.42254679587678984,0.7475825634842934,recovery_ok,0.128,1.0,tuning
rl,6,101,6,13.539534628443516,0.4082324600296213,0.6690175753419823,recovery_ok,0.128,1.0,tuning
llm,6,101,6,14.600072269897186,0.42254679587678984,0.7475825634842934,recovery_ok,0.128,1.0,tuning
zn,7,101,7,70.05680013353056,1.2831821454996182,3.4119369619844875,comfort_held+recovery_ok,0.127,1.0,tuning
bo,7,101,7,38.89459508559171,0.9600182702040172,3.4119369619844875,comfort_held+recovery_ok,0.127,1.0,tuning
