minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
0.0,25.101445537234984,25.101445537234984,25.101445537234984,25.101445537234984,25.101445537234984,25.101445537234984,25.101445537234984,0.25,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
1.0,25.238134675635802,25.238134675635802,25.238134675635802,25.238134675635802,25.238134675635802,25.238134675635802,25.238134675635802,0.25,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
2.0,25.373619782827177,25.373619782827177,25.373619782827177,25.373619782827177,25.373619782827177,25.373619782827177,25.373619782827177,0.29,0.0,0.0,0.0,0.0,0.0,0.0,24.89409901651732
3.0,25.507912280483612,25.507912280483612,25.507912280483612,25.507912280483612,25.507912280483612,25.507912280483612,25.507912280483612,0.34,0.25,0.25,0.25,0.25,0.25,0.25,24.89409901651732
4.0,25.641023479865517,25.641023479865517,25.641023479865517,25.641023479865517,25.641023479865517,25.641023479865517,25.641023479865517,0.39,0.25,0.25,0.25,0.25,0.25,0.25,24.89409901651732
5.0,25.772964582874383,25.772964582874383,25.772964582874383,25.772964582874383,25.772964582874383,25.772964582874383,25.772964582874383,0.44,0.26,0.3,0.26,0.26,0.26,0.26,24.89409901651732
6.0,25.90374668309797,25.90374668309797,25.90374668309797,25.90374668309797,25.90374668309797,25.90374668309797,25.90374668309797,0.49,0.31,0.35000000000000003,0.31,0.31,0.31,0.31,24.89409901651732
7.0,26.033380766845497,26.033380766845497,26.033380766845497,26.033380766845497,26.033380766845497,26.033380766845497,26.033380766845497,0.54,0.36,0.4,0.36,0.36,0.36,0.36,24.89409901651732
8.0,26.161877714172988,26.161877714172988,26.161877714172988,26.161877714172988,26.161877714172988,26.161877714172988,26.161877714172988,0.59,0.41000000000000003,0.45,0.41000000000000003,0.41000000000000003,0.41000000000000003,0.41000000000000003,24.89409901651732
9.0,26.281575943911125,26.28924829989889,26.28924829989889,26.28924829989889,26.28924829989889,26.28924829989889,26.28924829989889,0.64,0.46,0.5,0.46,0.46,0.46,0.46,24.89409901651732
10.0,26.38827102251952,26.41550319460995,26.41550319460995,26.41550319460995,26.41550319460995,26.41550319460995,26.41550319460995,0.6900000000000001,0.51,0.55,0.51,0.51,0.51,0.51,24.89409901651732
11.0,26.482325522010413,26.54065296565758,26.54065296565758,26.54065296565758,26.54065296565758,26.54065296565758,26.54065296565758,0.74,0.56,0.6,0.56,0.56,0.56,0.56,24.89409901651732
12.0,26.56292547731784,26.65703572215696,26.65703572215696,26.65703572215696,26.65703572215696,26.65703572215696,26.65703572215696,0.79,0.61,0.65,0.61,0.61,0.61,0.61,24.89409901651732
13.0,26.629169800357257,26.760446723812873,26.760446723812873,26.760446723812873,26.760446723812873,26.760446723812873,26.760446723812873,0.84,0.66,0.7000000000000001,0.66,0.66,0.66,0.66,24.89409901651732
14.0,26.680291877715522,26.852168921533757,26.850941344575713,26.852168921533757,26.852168921533757,26.852168921533757,26.852168921533757,0.89,0.71,0.75,0.71,0.71,0.71,0.71,24.89409901651732
15.0,26.715642829065526,26.931893861831117,26.927536714296647,26.931893861831117,26.931893861831117,26.931893861831117,26.931893861831117,0.9400000000000001,0.76,0.8,0.76,0.76,0.76,0.76,24.89409901651732
16.0,26.73467682371779,26.99853060878528,26.98939463011502,26.99853060878528,26.99853060878528,26.99853060878528,26.99853060878528,0.99,0.81,0.85,0.81,0.81,0.81,0.81,24.89409901651732
17.0,26.736938202536695,27.0511461188691,27.03580356173392,27.0511461188691,27.0511461188691,27.0511461188691,27.0511461188691,1.0,0.86,0.9,0.86,0.86,0.86,0.86,24.89409901651732
18.0,26.722050183491213,27.088945622540837,27.066162868739216,27.088945622540837,27.088945622540837,27.088945622540837,27.088945622540837,1.0,0.91,0.9500000000000001,0.91,0.91,0.91,0.91,24.89409901651732
19.0,26.689704956340098,27.11125541727444,27.07996895828913,27.11125541727444,27.11125541727444,27.11125541727444,27.11125541727444,1.0,0.96,1.0,0.96,0.96,0.96,0.96,24.89409901651732
20.0,26.639654995837283,27.117507775867253,27.076803144864446,27.117507775867253,27.117507775867253,27.117507775867253,27.117507775867253,1.0,1.0,1.0,1.0,1.0,0.9400000000000001,1.0,24.89409901651732
21.0,26.571705443795977,27.107227710235946,27.05632100303578,27.107227710235946,27.107227710235946,27.107227710235946,27.107227710235946,1.0,1.0,1.0,1.0,1.0,0.96,1.0,24.89409901651732
22.0,26.485707428729516,27.08002136281512,27.01824302987609,27.08002136281512,27.08002136281512,27.08002136281512,27.08002136281512,1.0,1.0,1.0,1.0,1.0,0.99,1.0,24.89409901651732
23.0,26.38155220790929,27.03556582565902,26.962346456166184,27.03556582565902,27.03556582565902,27.03556582565902,27.03556582565902,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
24.0,26.259166030822715,26.97360021189581,26.888458065294643,26.97360021189581,26.97360021189581,26.97360021189581,26.97360021189581,1.0,1.0,1.0,1.0,1.0,0.99,1.0,24.89409901651732
25.0,26.11850563541975,26.89391782571822,26.796447896081542,26.89391782571822,26.89391782571822,26.89391782571822,26.89391782571822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.89409901651732
