minute,zn_zone_c,imc_zone_c,bo_zone_c,safe-bo_zone_c,fnn_zone_c,rl_zone_c,llm_zone_c,zn_command,imc_command,bo_command,safe-bo_command,fnn_command,rl_command,llm_command,setpoint_c
0.0,26.381603678484375,26.381603678484375,26.381603678484375,26.381603678484375,26.381603678484375,26.381603678484375,26.381603678484375,0.3,0.3,0.3,0.3,0.3,0.3,0.3,25.45549034389096
1.0,26.46099267939231,26.46099267939231,26.46099267939231,26.46099267939231,26.46099267939231,26.46099267939231,26.46099267939231,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,25.45549034389096
2.0,26.53965217997042,26.53965217997042,26.53965217997042,26.53965217997042,26.53965217997042,26.53965217997042,26.53965217997042,0.4,0.4,0.4,0.4,0.4,0.4,0.4,25.45549034389096
3.0,26.617589462178476,26.617589462178476,26.617589462178476,26.617589462178476,26.617589462178476,26.617589462178476,26.617589462178476,0.45,0.45,0.45,0.45,0.45,0.45,0.45,25.45549034389096
4.0,26.694811735269575,26.694811735269575,26.694811735269575,26.694811735269575,26.694811735269575,26.694811735269575,26.694811735269575,0.5,0.5,0.5,0.5,0.5,0.5,0.5,25.45549034389096
5.0,26.771326136508414,26.771326136508414,26.771326136508414,26.771326136508414,26.771326136508414,26.771326136508414,26.771326136508414,0.55,0.55,0.55,0.55,0.55,0.49,0.55,25.45549034389096
6.0,26.847139731882475,26.847139731882475,26.847139731882475,26.847139731882475,26.847139731882475,26.847139731882475,26.847139731882475,0.6,0.6,0.6,0.6,0.6,0.53,0.6,25.45549034389096
7.0,26.922259516806225,26.922259516806225,26.922259516806225,26.922259516806225,26.922259516806225,26.922259516806225,26.922259516806225,0.65,0.65,0.65,0.65,0.65,0.56,0.65,25.45549034389096
8.0,26.993558588085826,26.993558588085826,26.993558588085826,26.993558588085826,26.993558588085826,26.993558588085826,26.993558588085826,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.61,0.7000000000000001,25.45549034389096
9.0,27.058696928571003,27.058696928571003,27.058696928571003,27.058696928571003,27.058696928571003,27.058696928571003,27.058696928571003,0.75,0.75,0.75,0.75,0.75,0.66,0.75,25.45549034389096
10.0,27.117383632384694,27.117383632384694,27.117383632384694,27.117383632384694,27.117383632384694,27.117383632384694,27.117383632384694,0.8,0.8,0.8,0.8,0.8,0.64,0.8,25.45549034389096
11.0,27.16936433306609,27.16936433306609,27.16936433306609,27.16936433306609,27.16936433306609,27.16936433306609,27.16936433306609,0.85,0.84,0.85,0.84,0.84,0.66,0.84,25.45549034389096
12.0,27.214417594182915,27.214417594182915,27.214417594182915,27.214417594182915,27.214417594182915,27.214417594182915,27.214417594182915,0.9,0.89,0.9,0.89,0.89,0.7000000000000001,0.89,25.45549034389096
13.0,27.25235164903242,27.25235164903242,27.25235164903242,27.25235164903242,27.25235164903242,27.252978414778912,27.25235164903242,0.9500000000000001,0.91,0.9500000000000001,0.91,0.91,0.72,0.91,25.45549034389096
14.0,27.28300145574019,27.28300145574019,27.28300145574019,27.28300145574019,27.28300145574019,27.285351127680343,27.28300145574019,1.0,0.9400000000000001,1.0,0.9400000000000001,0.9400000000000001,0.75,0.9400000000000001,25.45549034389096
15.0,27.306226037316947,27.306226037316947,27.306226037316947,27.306226037316947,27.306226037316947,27.31155875560132,27.306226037316947,1.0,0.97,1.0,0.97,0.97,0.78,0.97,25.45549034389096
16.0,27.32190607917049,27.32190607917049,27.32190607917049,27.32190607917049,27.32190607917049,27.33149055924639,27.32190607917049,1.0,1.0,1.0,1.0,1.0,0.81,1.0,25.45549034389096
17.0,27.329941759223694,27.329941759223694,27.329941759223694,27.329941759223694,27.329941759223694,27.344909430955898,27.329941759223694,1.0,1.0,1.0,1.0,1.0,0.8200000000000001,1.0,25.45549034389096
18.0,27.330250788187197,27.330250788187197,27.330250788187197,27.330250788187197,27.330250788187197,27.35234041585947,27.330250788187197,1.0,1.0,1.0,1.0,1.0,0.85,1.0,25.45549034389096
19.0,27.322766639701772,27.32287110065952,27.322766639701772,27.32287110065952,27.32287110065952,27.354344310447917,27.32287110065952,1.0,1.0,1.0,1.0,1.0,0.86,1.0,25.45549034389096
20.0,27.307436952022666,27.307811153853066,27.307436952022666,27.307811153853066,27.307811153853066,27.35093144405469,27.307811153853066,1.0,1.0,1.0,1.0,1.0,0.88,1.0,25.45549034389096
21.0,27.284222084686675,27.285327066649664,27.284222084686675,27.285327066649664,27.285327066649664,27.34218117437946,27.285327066649664,1.0,1.0,1.0,1.0,1.0,0.89,1.0,25.45549034389096
22.0,27.253093815200508,27.255766088828096,27.253093815200508,27.255766088828096,27.255766088828096,27.328208760211567,27.255766088828096,1.0,1.0,1.0,1.0,1.0,0.89,1.0,25.45549034389096
23.0,27.214556467021474,27.219373572966898,27.214556467021474,27.219373572966898,27.219373572966898,27.309050250244812,27.219373572966898,1.0,1.0,1.0,1.0,1.0,0.91,1.0,25.45549034389096
24.0,27.16942763703662,27.1763753556206,27.16942763703662,27.1763753556206,27.1763753556206,27.284742672242327,27.1763753556206,1.0,1.0,1.0,1.0,1.0,0.93,1.0,25.45549034389096
25.0,27.1184450238733,27.127292982083294,27.1184450238733,27.127292982083294,27.127292982083294,27.255532816361544,27.127292982083294,1.0,1.0,1.0,1.0,1.0,0.93,1.0,25.45549034389096
26.0,27.062274146988347,27.072814444965754,27.062274146988347,27.072814444965754,27.072814444965754,27.22158090445579,27.072814444965754,1.0,1.0,1.0,1.0,1.0,0.9400000000000001,1.0,25.45549034389096
27.0,27.001515320866297,27.01356036111099,27.001515320866297,27.01356036111099,27.01356036111099,27.183099798710618,27.01356036111099,1.0,0.98,1.0,0.98,0.98,0.9400000000000001,0.98,25.45549034389096
28.0,26.936709956199973,26.950090482252616,26.936709956199973,26.950090482252616,26.950090482252616,27.140323474636986,26.950090482252616,1.0,0.96,1.0,0.96,0.96,0.93,0.96,25.45549034389096
29.0,26.868346252991945,26.882909577381945,26.868346252991945,26.882909577381945,26.882909577381945,27.09349781651976,26.882909577381945,1.0,0.92,1.0,0.92,0.92,0.91,0.92,25.45549034389096
30.0,26.796864344249595,26.812472747446726,26.796864344249595,26.812472747446726,26.812472747446726,27.043022931540087,26.812472747446726,1.0,0.9,1.0,0.9,0.9,0.91,0.9,25.45549034389096
31.0,26.72266094328535,26.73919022715523,26.72266094328535,26.73919022715523,26.73919022715523,26.9891231845869,26.73919022715523,1.0,0.87,0.98,0.87,0.87,0.9,0.87,25.45549034389096
32.0,26.646093542518773,26.663431723374256,26.646093542518773,26.663431723374256,26.663431723374256,26.93185869778917,26.663431723374256,1.0,0.85,0.9500000000000001,0.85,0.85,0.9,0.85,25.45549034389096
33.0,26.567484207055635,26.585530334834775,26.567484207055635,26.585530334834775,26.585530334834775,26.87149527605478,26.585530334834775,1.0,0.8200000000000001,0.91,0.8200000000000001,0.8200000000000001,0.88,0.8200000000000001,25.45549034389096
