search_seed,method,kp,ki,train_evals,train_mean_objective,sealed_mean_objective,paired_ratio_mean,paired_ratio_lo95,paired_ratio_hi95
815,init-only-7,0.6092581725278857,0.001754062939928975,7,40.46119996833888,42.181421085232856,1.1423603613111009,1.111110919138057,1.1747554363524564
815,gp-full,0.6265068944346303,0.005895908382254749,14,37.87096615694812,41.27667986391847,1.0629825717853318,1.0306190064363092,1.0964206687266669
815,random-14,0.6092581725278857,0.001754062939928975,14,40.46119996833888,42.181421085232856,1.1423603613111009,1.111110919138057,1.1747554363524564
5001,init-only-7,0.3247881521479984,0.0020600446599563366,7,37.729002281228794,35.851462253480584,1.0834454223841419,0.994321978223362,1.1810132577255503
5001,gp-full,0.5635366766847314,0.004634674583615634,14,36.24258434458047,39.54416113571678,1.022296084013652,1.0057810126585927,1.0396137501293303
5001,random-14,0.3247881521479984,0.0020600446599563366,14,37.729002281228794,35.851462253480584,1.0834454223841419,0.994321978223362,1.1810132577255503
9002,init-only-7,0.9165539190827202,0.00015405415276639574,7,45.180105855033446,48.51897791173404,1.3494325337182018,1.2798931559104525,1.4272910263677325
9002,gp-full,0.6531329350230936,0.007672117254505612,14,38.57920826073889,42.56786142735149,1.10888954786151,1.0598053182288782,1.1593956656561426
9002,random-14,0.38307088212942486,0.0068984216125745415,14,33.00428481669145,34.40412100414691,0.921736177006084,0.8747205100994372,0.973315674050318
12077,init-only-7,0.3033376865827533,0.008424178164224258,7,35.182403712064406,35.86365925967293,0.9959056932900634,0.9356644543270722,1.0579850521086032
12077,gp-full,0.33415377574170363,0.003615597692206307,14,33.07902460044306,32.57118703561521,0.9255568768076625,0.8691246282384834,0.9858244261412209
12077,random-14,0.3033376865827533,0.008424178164224258,14,35.182403712064406,35.86365925967293,0.9959056932900634,0.9356644543270722,1.0579850521086032
