ordinal,repeat_seed,scenario_index,noise_seed,dt_minutes,duration_hours,setpoint_c,initial_zone_c,outdoor_c,outdoor_amplitude_c,outdoor_peak_hour,internal_load_w,occupied_load_add_w,occupied_start_hour,occupied_end_hour,door_open_hour,door_open_duration_minutes,door_open_load_w,setpoint_change_hour,setpoint_after_c,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,sensor_noise_std_c,sensor_filter_tau_minutes,command_slew_rate_per_minute,command_quantization,minimum_running_command,minimum_on_minutes,minimum_off_minutes,integration_substeps
1,601,1,700007,1.0,5.0,23.91780401762454,24.31608541599946,36.85632523763068,2.414980120221119,6.500598821877887,719.6535476235488,1916.0574790328978,1.1338587293817128,3.4552658002660803,,0.0,0.0,,,2286692.66844527,7993091.996740635,0.018806971733423713,0.007385384884931722,0.013290796417696447,7355.120336403743,10.160463534772086,4.869350122334126,0.06523979918382072,2.0,0.05,0.01,0.25,5.0,3.0,6
2,601,2,700008,1.0,5.0,24.184627811587497,23.71489823544548,37.32325286974968,2.495313359492319,3.1181227253381927,936.0420828224385,1323.5067987540037,2.3262372399115128,3.64770914521981,,0.0,0.0,,,2856389.9990923363,21604652.995616008,0.01917715740835611,0.008972153454579626,0.030924748625651786,5897.542143776779,5.641230427964251,7.0876396145952265,0.05237852735769509,2.0,0.05,0.01,0.25,5.0,3.0,6
3,601,3,700009,1.0,5.0,22.61834169039539,21.06267401168763,35.2028726283477,1.521332755995501,2.9937089478062338,781.5339547055462,0.0,1.0,4.0,,0.0,0.0,,,1759569.7530148355,10906954.371043991,0.01573874045335594,0.004451058729649816,0.02147675454066149,5792.769461693493,9.763374220496937,7.657896579470671,0.07159151278102718,2.0,0.05,0.01,0.25,5.0,3.0,6
4,601,4,700010,1.0,5.0,24.73511327378834,20.400308940218686,34.28173587173649,0.5380235344409751,3.771617972255121,1625.5579271783588,0.0,1.0,4.0,,0.0,0.0,0.3244061036091529,23.815214365498026,2634571.106392352,17176900.595887877,0.01348008939406856,0.006343930491859422,0.017262896781216855,5155.799681393793,11.09096866106286,3.9906844568709996,0.028618215186005276,2.0,0.05,0.01,0.25,5.0,3.0,6
5,601,5,700011,1.0,5.0,24.59012937936383,20.276547933547942,35.8745233110044,0.8441922256260994,5.8866933817990095,1279.7657640972939,0.0,1.0,4.0,,0.0,0.0,0.20073154182879968,23.678254369836743,1704206.638336773,19420157.499488726,0.016157026898005765,0.007753233624587066,0.0260296201046537,7367.136534276983,9.26123866872388,3.883756271408405,0.026779800712003695,2.0,0.05,0.01,0.25,5.0,3.0,6
6,601,6,700012,1.0,5.0,23.10962130831925,25.762765764589417,34.957981232026114,2.5237160894695725,3.548944775862039,763.1774541176295,0.0,1.0,4.0,,0.0,0.0,3.487684367832566,23.949006703546026,1441163.1632324294,12746151.500183526,0.01746486042057961,0.00783641907117747,0.027905808167561823,8579.110337096263,3.1267407857950062,5.776376260622842,0.03802722307994273,2.0,0.05,0.01,0.25,5.0,3.0,6
7,601,7,700013,1.0,5.0,22.533627233733945,21.453424428604315,28.526364692800854,3.46102438225545,2.8829533806931478,1080.0054287297621,0.0,1.0,4.0,,0.0,0.0,,,3081148.4619955854,12533094.52882371,0.01961612253406304,0.010116180705203086,0.02172276693244221,8487.95234581453,5.89586906683639,5.3518554514252035,0.02557568549055766,2.0,0.05,0.01,0.25,5.0,3.0,6
8,601,8,700014,1.0,5.0,25.219126947105472,25.115475304836302,28.86096932835476,1.4073522042524926,5.156294108155491,1855.8173951234246,0.0,1.0,4.0,,0.0,0.0,2.0469005387135804,24.375205742378633,2078784.439124899,11331913.79847202,0.01022369205493611,0.004005490279367325,0.026489390573756433,8123.749900076709,2.7516653938173357,6.954118250726091,0.04765963958154619,2.0,0.05,0.01,0.25,5.0,3.0,6
9,601,9,700015,1.0,5.0,23.789410214795115,20.947258379693842,37.925924810230654,0.008692832665066486,6.632109991377662,386.581982887868,0.0,1.0,4.0,,0.0,0.0,,,1554621.846507369,16374029.615416486,0.013363564631990761,0.009990188517705046,0.015602837592799368,10105.759831378713,5.6917634724927515,4.974868506805639,0.0519839043529173,2.0,0.05,0.01,0.25,5.0,3.0,6
10,601,10,700016,1.0,5.0,25.435667491571003,30.412693536695187,28.6230445526754,1.1337512254203683,7.994827683976817,937.5309118035201,0.0,1.0,4.0,,0.0,0.0,,,2377448.8691232195,13181519.72748303,0.009363029031239638,0.010034646206546441,0.029264248880236595,8424.740572699517,10.205806071890612,3.4603025937380814,0.06075117585234192,2.0,0.05,0.01,0.25,5.0,3.0,6
11,601,11,700017,1.0,5.0,24.046958622011935,24.934434321061218,30.54062398815515,0.2278045208157225,6.403765257298627,944.0034943987267,0.0,1.0,4.0,,0.0,0.0,2.8499431272932325,22.83429251150973,3162590.217833461,13471258.969079535,0.016097144229179877,0.010364345066998102,0.019116223187655174,8462.805947177694,7.620465597380758,8.887193274626934,0.06319842534553725,2.0,0.05,0.01,0.25,5.0,3.0,6
12,601,12,700018,1.0,5.0,23.17910060453747,26.201434795898418,31.013833136291023,3.2723329058155626,6.129679203647435,340.7622462766083,0.0,1.0,4.0,,0.0,0.0,2.64374491465901,25.207012197240566,2447630.936615045,12687442.14482345,0.008941490040522408,0.010475870571746645,0.015379878520645885,6300.253630769859,7.23538757056896,9.649098380884555,0.03400563097166605,2.0,0.05,0.01,0.25,5.0,3.0,6
13,601,13,700019,1.0,5.0,24.89409901651732,24.963540834470763,33.59494678018233,3.4006750707626137,4.985083857431309,1780.5211989907868,0.0,1.0,4.0,2.810763622310528,18.37130255207066,1975.118082144265,,,1339054.5236159833,13668042.920590103,0.00903423544013599,0.010156437855705011,0.023145918630525546,9414.903140488404,9.291086014101346,7.715645631592836,0.06275238094273072,2.0,0.05,0.01,0.25,5.0,3.0,6
14,601,14,700020,1.0,5.0,25.19361536509636,29.90759615979617,28.289940587570182,2.169963572367765,7.385561121441299,1039.1794559866325,0.0,1.0,4.0,,0.0,0.0,,,2133153.208834461,19611555.838073127,0.018699336356015037,0.010463944280905595,0.01227593179994266,8874.924859274986,11.212929118830303,3.7453045506914666,0.04063228513695086,2.0,0.05,0.01,0.25,5.0,3.0,6
15,601,15,700021,1.0,5.0,23.079231283940693,23.693252966877395,33.37026211971141,1.2369046702789182,2.228372971834332,1436.8467105309217,0.0,1.0,4.0,2.6310962778760096,28.904550424859025,2203.4353334873113,,,2099350.4216682236,13172159.192798544,0.01182858280697948,0.005128216003863162,0.02552189823362929,10408.918686829486,2.973248556158067,5.45296982221149,0.05923095259972397,2.0,0.05,0.01,0.25,5.0,3.0,6
16,601,16,700022,1.0,5.0,23.029494289342395,26.23748471813994,33.252576587149676,2.37633668276095,4.73492448738068,843.4766246051342,0.0,1.0,4.0,,0.0,0.0,,,1979669.4096076598,18838519.561047796,0.016054419538744858,0.007334193418931878,0.020990547883711047,7509.849487710542,3.870323461777529,3.060793868142726,0.04680722954559251,2.0,0.05,0.01,0.25,5.0,3.0,6
17,611,1,700023,1.0,5.0,22.86293698098896,18.345546890496678,37.64293924977745,2.3559094698842955,3.4541163626690974,416.4427796791987,0.0,1.0,4.0,,0.0,0.0,0.2710093300217279,22.059456937674394,2159569.341240638,7508161.016770954,0.013993908024061426,0.00708489364908506,0.02361883419909487,8015.4278478466385,7.154597610979335,4.543095029227771,0.05907352433173288,2.0,0.05,0.01,0.25,5.0,3.0,6
18,611,2,700024,1.0,5.0,24.244492863644204,23.355573155694405,29.67988921828117,2.643263611397047,6.561665066134328,1676.4548850424121,0.0,1.0,4.0,,0.0,0.0,,,2197069.515544606,20333128.000139773,0.016321584376985387,0.006310605243073607,0.01889095189901485,10173.847136254371,11.219300436731677,4.040333994374177,0.03187533174641975,2.0,0.05,0.01,0.25,5.0,3.0,6
19,611,3,700025,1.0,5.0,25.09794308697283,25.56129823532355,30.327683097345012,2.2141390128592313,5.630643503290484,780.0208869721496,0.0,1.0,4.0,,0.0,0.0,0.823312517808739,23.092982537585012,2116031.7202217113,8436809.166815272,0.010292514420620642,0.01087549232491631,0.021061294931840172,5555.363118792139,7.488791781035775,2.295508065605045,0.06918616241018702,2.0,0.05,0.01,0.25,5.0,3.0,6
20,611,4,700026,1.0,5.0,25.13597882191017,27.80278452968006,35.47415097292266,2.7588416582583273,3.441387335063645,303.4117945988552,0.0,1.0,4.0,,0.0,0.0,3.5089191887955433,27.09862866051866,1686470.8940518242,17936921.3797938,0.017901219676458323,0.00666404092051742,0.018598346370680842,9637.297356332965,7.556598385242461,2.327662472752616,0.028438926460516184,2.0,0.05,0.01,0.25,5.0,3.0,6
21,611,5,700027,1.0,5.0,22.654400930268768,21.993875303737827,28.974594110152644,0.2519661478972924,7.416280965741491,1092.6726084195534,1905.5283477342168,1.7828879018675403,4.418715369018887,,0.0,0.0,,,2268971.514186365,8917174.106744505,0.015507687417315397,0.009855897611933607,0.031078677987897218,9828.27663503633,7.318222959019599,7.177779313612751,0.07472860776417992,2.0,0.05,0.01,0.25,5.0,3.0,6
22,611,6,700028,1.0,5.0,25.310830634177492,25.2801196733992,35.60620568206676,2.3813047438707455,2.51570281964575,971.8289775440628,0.0,1.0,4.0,3.197012287863033,25.53680480266669,3391.081163047964,,,3120214.1296894117,13014747.640184786,0.010367805489789415,0.010832478481673232,0.021613020447399597,5166.459683200891,9.106074251502772,3.4796722984701134,0.027076412226616053,2.0,0.05,0.01,0.25,5.0,3.0,6
23,611,7,700029,1.0,5.0,24.652423081608138,25.646181316615362,33.49125073802966,0.7369521558200415,6.358480912925221,1016.1045809232816,1991.6694205466367,0.7226665694287588,3.71965300235598,,0.0,0.0,,,1320127.9975214044,21148258.454350535,0.016513564573331946,0.005375925707736907,0.019584094137110025,5313.708768468701,11.113973711006345,7.012095610474105,0.05858209106553635,2.0,0.05,0.01,0.25,5.0,3.0,6
24,611,8,700030,1.0,5.0,25.41651095485917,25.399269528866515,35.5220890144487,1.4003644030682498,6.213329657657609,1249.2005907428409,0.0,1.0,4.0,2.113150109956563,15.686849685642983,2466.523144340989,,,1673576.0927523924,19455414.216825508,0.016750773394586613,0.008695985706862166,0.017243105373887145,8359.532802804286,6.241345078560547,3.326624776366212,0.07266161071417268,2.0,0.05,0.01,0.25,5.0,3.0,6
25,611,9,700031,1.0,5.0,22.95934632700227,19.482300475591597,35.93588426520368,0.7132628778898013,4.770347392918341,1720.2916143884609,0.0,1.0,4.0,,0.0,0.0,,,1102581.9681561443,7704083.362334613,0.00861183819296644,0.005965923417033272,0.03133621232834811,8346.078282700866,4.0474082335242505,6.0114346906036955,0.026829247861082595,2.0,0.05,0.01,0.25,5.0,3.0,6
26,611,10,700032,1.0,5.0,23.334240518394733,25.682164871731096,29.052948131477702,0.8135058654369601,6.429231627593138,895.2331642909909,0.0,1.0,4.0,,0.0,0.0,,,2049603.3301122994,15938613.429917244,0.008097135143257484,0.010014246679245966,0.023732342422922943,10458.118552775552,6.353793173646726,9.600646807721958,0.02534635941497303,2.0,0.05,0.01,0.25,5.0,3.0,6
27,611,11,700033,1.0,5.0,24.938066470874112,27.802409912443206,38.62661816414727,2.7500929971454586,7.056298621715989,532.1135550075733,0.0,1.0,4.0,,0.0,0.0,2.8032844234370726,26.366889646378723,3091021.223577535,13280721.279001318,0.014280272810728913,0.009507269527767096,0.024959531628183502,8711.876682144073,3.9438956318850042,7.918064573611174,0.051295569923393694,2.0,0.05,0.01,0.25,5.0,3.0,6
28,611,12,700034,1.0,5.0,24.431190246494975,23.7071322512376,37.552434862415524,2.189174761128306,2.8368017962428826,1572.047495843084,0.0,1.0,4.0,,0.0,0.0,,,1481640.7601927859,8553123.977141732,0.012881384475516969,0.005063817551156408,0.01600341659442488,6268.05132966143,4.426961597544927,4.987948438853321,0.0707282231345849,2.0,0.05,0.01,0.25,5.0,3.0,6
29,611,13,700035,1.0,5.0,24.999966888389537,25.22814728894804,34.28211806287651,0.5837456099009675,4.181213195687681,1570.217758635576,0.0,1.0,4.0,,0.0,0.0,1.9150070160004036,23.504555597246643,1260476.7353726733,18982765.35439231,0.014011768990213632,0.005645681254195456,0.030000431217869567,8912.852931510031,5.69095765105928,5.3159545882406345,0.07427739154224436,2.0,0.05,0.01,0.25,5.0,3.0,6
30,611,14,700036,1.0,5.0,22.618269752469658,25.24007894337823,28.80864261471529,2.449356625830442,3.213989492599861,1573.472819021666,0.0,1.0,4.0,,0.0,0.0,,,3057110.941718732,8827622.940683682,0.008694562529758343,0.006199829787572072,0.02906485358320298,6124.963808568561,8.38732825465291,9.043338487957353,0.049987716413623,2.0,0.05,0.01,0.25,5.0,3.0,6
31,611,15,700037,1.0,5.0,24.162084601628436,26.17278747715729,37.7251269484246,1.0226026634139547,5.8003410885020585,991.8928675527399,0.0,1.0,4.0,,0.0,0.0,,,2195544.793458682,15188561.696158797,0.008093190251553688,0.004918658131420871,0.028679766096352553,5873.306843787895,11.997069071160565,2.7749698190269134,0.03754131559836118,2.0,0.05,0.01,0.25,5.0,3.0,6
32,611,16,700038,1.0,5.0,23.170762377706275,18.946990436587335,28.488094059007352,0.881512538331088,3.474652136437496,1025.4111173453125,0.0,1.0,4.0,,0.0,0.0,0.40719402673368277,22.279116724910452,1827150.3348136882,21386245.36902173,0.014508220687779145,0.009355448174545346,0.029190229034517783,6881.461411343322,2.692865826922021,5.209547731908057,0.026726329250416195,2.0,0.05,0.01,0.25,5.0,3.0,6
33,621,1,700039,1.0,5.0,23.841824490780887,27.74714220554562,30.18728873204067,1.762322687488006,3.2347037793460958,1590.2422773258406,0.0,1.0,4.0,,0.0,0.0,1.798171446505148,25.59657034774459,1318789.4401339858,13524761.245245889,0.011727583972850817,0.006104242774542684,0.02986685388789026,7699.338002525725,10.57847777025808,2.627667252135695,0.0421614580821499,2.0,0.05,0.01,0.25,5.0,3.0,6
34,621,2,700040,1.0,5.0,25.172697352322345,24.0972622083531,38.46658481213403,1.5803116899291503,7.591232876009949,1509.9338142541033,0.0,1.0,4.0,,0.0,0.0,,,2186416.304213364,9396548.293612625,0.011696502746929589,0.004765060351860476,0.020808451035194457,10443.14095936238,5.720020741017757,7.806961901650857,0.043225069066121606,2.0,0.05,0.01,0.25,5.0,3.0,6
35,621,3,700041,1.0,5.0,23.00916100070231,23.606881248693984,28.870905326515228,0.047132195911466446,7.77117156105799,1111.5274760531424,0.0,1.0,4.0,,0.0,0.0,,,1298008.957057836,11024823.536052812,0.019113781643915376,0.007019498103232522,0.026129280877320138,4597.5289355438945,4.705788078027523,7.6036079531495036,0.06828843606713025,2.0,0.05,0.01,0.25,5.0,3.0,6
36,621,4,700042,1.0,5.0,24.414684604562574,25.183670691062296,28.58599226365806,2.365692020913049,2.593284266654662,1236.3275732651007,0.0,1.0,4.0,,0.0,0.0,3.7972613865638696,22.581925091329417,2733896.4847651212,8377580.310193853,0.01981313969153141,0.007842514723284571,0.023336714330527843,10166.87998210648,4.225349062901679,4.836387244867063,0.051233749573716035,2.0,0.05,0.01,0.25,5.0,3.0,6
37,621,5,700043,1.0,5.0,25.45549034389096,26.30147782185468,36.88033836687891,2.2078130288968945,7.27917192547105,770.9320913394357,1603.1694987097217,1.6569565835418372,3.3889196822300063,,0.0,0.0,,,1880680.926394525,20227128.043681454,0.008395389510996245,0.005499570133993683,0.024946193621996807,5752.097494840171,8.011157379883223,9.939194132870453,0.05289865732125594,2.0,0.05,0.01,0.25,5.0,3.0,6
38,621,6,700044,1.0,5.0,23.930490799022195,23.258639019001688,36.347957898301466,2.9481126317062065,7.251788237609824,641.7916044559876,0.0,1.0,4.0,,0.0,0.0,,,3052495.2790493057,17089288.857008826,0.01353487098181046,0.006707396678915073,0.012305233262607383,6529.49524666893,8.266268540364141,9.117946097638715,0.02666975363286339,2.0,0.05,0.01,0.25,5.0,3.0,6
39,621,7,700045,1.0,5.0,22.590224047502375,22.68715176628115,30.25286830446445,1.6455061717350254,4.167210531767037,571.7762006714754,0.0,1.0,4.0,2.6594945952628617,48.20016004212802,3239.156550957802,,,1672470.4953815453,7058728.453352503,0.012912930761360146,0.004818957422089681,0.01603224090584602,6965.566058250095,6.650962685467473,9.128028241668924,0.05923588987855488,2.0,0.05,0.01,0.25,5.0,3.0,6
40,621,8,700046,1.0,5.0,23.265615281368532,26.379592383248497,31.38626629696323,0.390311150246506,7.736535575555058,542.424845858171,0.0,1.0,4.0,,0.0,0.0,,,1801879.0049117813,21641641.398191065,0.009552417817032501,0.008566965889598491,0.01926032701761146,5289.547984034034,11.279073113820948,2.5960085950540623,0.05976238603049908,2.0,0.05,0.01,0.25,5.0,3.0,6
