ordinal,repeat_seed,scenario_index,noise_seed,duration_hours,dt_minutes,initial_zone_c,setpoint_c,outdoor_c,internal_load_w,door_open_hour,setpoint_change_hour,setpoint_after_c,integration_substeps
1,101,1,700007,5.0,1.0,26.27686691638591,24.473274729100346,29.705658470322454,1525.5465806662849,-1.0,-1.0,-1.0,6
2,101,2,700008,5.0,1.0,26.928176240309163,24.67384227628718,29.0322678127795,1419.1254397759205,-1.0,2.4921098347581507,26.688308740738165,6
3,101,3,700009,5.0,1.0,20.624478296127283,24.787793302785396,30.438960872372558,1282.2999479959906,-1.0,0.35641567855244904,23.665660445112703,6
4,101,4,700010,5.0,1.0,26.062583223610215,22.872770837079504,31.67150348682649,500.10738411550835,-1.0,-1.0,-1.0,6
5,101,5,700011,5.0,1.0,27.18803062642106,24.794186839297694,35.935741012505844,1216.73869253374,-1.0,-1.0,-1.0,6
6,101,6,700012,5.0,1.0,25.873230945163254,25.096204493453527,34.42932069862302,1280.2605790984935,-1.0,3.6062341117946213,23.89476440014522,6
7,101,7,700013,5.0,1.0,21.01071455979317,24.483371156915517,31.319910634364224,1081.6069913079054,-1.0,-1.0,-1.0,6
8,101,8,700014,5.0,1.0,26.17955300706366,25.185815274675814,31.931622242928313,1409.3859187073183,-1.0,-1.0,-1.0,6
9,101,9,700015,5.0,1.0,24.19570672793636,25.454406513210884,29.728880323852316,567.4201379574167,-1.0,-1.0,-1.0,6
10,101,10,700016,5.0,1.0,24.16951044479072,23.36465373785457,31.72219724118691,319.75922872527553,1.8364116431507944,-1.0,-1.0,6
11,101,11,700017,5.0,1.0,27.61459884393191,23.833998227786758,32.72740099162891,1703.4072893429607,-1.0,1.6328299333050742,24.814220534945107,6
12,101,12,700018,5.0,1.0,20.333265993786668,22.960711040497888,37.43564373662312,394.57001779227824,-1.0,-1.0,-1.0,6
13,101,13,700019,5.0,1.0,25.22399915728004,25.380082462716434,28.731820410631173,416.3005685691195,1.9643317465625985,-1.0,-1.0,6
14,101,14,700020,5.0,1.0,24.989590654554863,24.046368559440584,36.50095828815166,1566.5383574519933,-1.0,3.6497159990810477,22.4036844516563,6
15,101,15,700021,5.0,1.0,20.862605777064193,24.391724267241834,38.242187632385466,1044.8358967191107,-1.0,0.24042379380446274,23.5006376849267,6
16,101,16,700022,5.0,1.0,25.39172078877334,25.209222713546595,37.731487573985476,453.45304866905457,-1.0,-1.0,-1.0,6
17,211,1,700023,5.0,1.0,22.287141521269103,24.97158339866957,29.41876039180506,746.3482093227394,-1.0,-1.0,-1.0,6
18,211,2,700024,5.0,1.0,23.282323281031267,23.76310836643836,37.334240596672004,1288.962653157922,-1.0,-1.0,-1.0,6
19,211,3,700025,5.0,1.0,24.00327523905698,23.369479310638585,28.70049757510226,721.7434266800462,1.6209963032172472,-1.0,-1.0,6
20,211,4,700026,5.0,1.0,21.204577924405356,22.71391818500059,32.51093651022519,477.3497613534854,-1.0,-1.0,-1.0,6
21,211,5,700027,5.0,1.0,27.864604157919956,25.480240963960693,30.621126578341617,443.55322576004073,-1.0,0.9117534439797508,26.377335210149404,6
