algorithm,display_name,wall_clock_second,simulated_minute,temperature_c,measurement_c,setpoint_c,comfort_low_c,comfort_high_c,requested_command_pct,command_pct,kp,ki,candidate_temperature_c,candidate_kp,candidate_ki,door_open,in_comfort_band,fallback_active,status
llm,LLM Agent 自动调参,0.0,0.0,30.047864772576073,30.000649612314774,24.0,23.5,24.5,100.0,30.0,0.47670835140367046,0.003429367549793708,30.047864772576073,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,0.30000000000000004,1.0,30.095247596370523,30.023296845886733,24.0,23.5,24.5,100.0,35.0,0.47670835140367046,0.003429367549793708,30.095247596370523,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,0.6000000000000001,2.0,30.14215387577466,30.045812437368298,24.0,23.5,24.5,100.0,40.0,0.47670835140367046,0.003429367549793708,30.14215387577466,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,0.9,3.0,30.188588954466,30.076739133332776,24.0,23.5,24.5,100.0,45.0,0.47670835140367046,0.003429367549793708,30.188588954466,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,1.2000000000000002,4.0,30.21655294048374,30.12072245569452,24.0,23.5,24.5,100.0,50.0,0.47670835140367046,0.003429367549793708,30.21655294048374,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,1.5,5.0,30.21704192209759,30.159473602121036,24.0,23.5,24.5,100.0,55.00000000000001,0.47670835140367046,0.003429367549793708,30.21704192209759,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,1.8,6.0,30.19333139459976,30.18326405108936,24.0,23.5,24.5,100.0,60.0,0.47670835140367046,0.003429367549793708,30.19333139459976,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,2.1,7.0,30.147794122513012,30.167675335845104,24.0,23.5,24.5,100.0,65.0,0.47670835140367046,0.003429367549793708,30.147794122513012,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,2.4000000000000004,8.0,30.082161689834248,30.153451295449024,24.0,23.5,24.5,100.0,70.0,0.47670835140367046,0.003429367549793708,30.082161689834248,0.47670835140367046,0.003429367549793708,0,0,0,降温中
llm,LLM Agent 自动调参,2.6999999999999997,9.0,29.997710121273272,30.125600420262533,24.0,23.5,24.5,100.0,75.0,0.47670835140367046,0.003429367549793708,29.997710121273272,0.47670835140367046,0.003429367549793708,0,0,0,降温中
