run,model,difficulty,seed,live_llm,provider,agent_steps,agent_trials,accepted_trials,inspect_calls,deployment_accepted,fallback_used,objective,max_undershoot_c,stable,first_in_band_minute,door_recovery_minutes,baseline_kp,baseline_ki,deployed_kp,deployed_ki,kp_change_pct,ki_change_pct,described_trial
qwen-max_hard_r71,qwen-max,hard,71,1,openai-compatible,6,2,0,4,0,1,71.42311046236782,1.2878719282310307,1,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-max_hard_r72,qwen-max,hard,72,1,openai-compatible,6,2,0,3,0,1,70.34985179048314,1.310727617320353,1,44.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-max_hard_r73,qwen-max,hard,73,1,openai-compatible,6,2,0,3,0,1,70.72353895205958,1.321972497427037,0,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-max_std_r71,qwen-max,std,71,1,openai-compatible,5,2,0,2,0,1,53.97506818994036,1.3613444651208653,1,35.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-max_std_r72,qwen-max,std,72,1,openai-compatible,6,2,1,3,1,0,49.44359269284815,1.2472433129551384,1,35.0,46.0,0.5174862694351612,0.004053625945382633,0.4657376424916451,0.00364826335084437,-9.999999999999986,-9.999999999999998,accepted
qwen-max_std_r73,qwen-max,std,73,1,openai-compatible,5,2,0,2,0,1,51.49726321736841,1.3470276060410704,1,35.0,45.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_hard_r71,qwen-plus,hard,71,1,openai-compatible,4,1,0,2,0,1,71.42311046236782,1.2878719282310307,1,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_hard_r72,qwen-plus,hard,72,1,openai-compatible,4,1,0,2,0,1,70.34985179048314,1.310727617320353,1,44.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_hard_r73,qwen-plus,hard,73,1,openai-compatible,5,1,0,3,0,1,70.72353895205958,1.321972497427037,0,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_std_r71,qwen-plus,std,71,1,openai-compatible,5,1,0,3,0,1,53.97506818994036,1.3613444651208653,1,35.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_std_r72,qwen-plus,std,72,1,openai-compatible,5,1,0,3,0,1,50.60846242068079,1.339056383862541,1,35.0,45.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-plus_std_r73,qwen-plus,std,73,1,openai-compatible,4,1,0,2,0,1,51.49726321736841,1.3470276060410704,1,35.0,45.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_hard_r71,qwen-turbo,hard,71,1,openai-compatible,4,2,0,1,0,1,71.42311046236782,1.2878719282310307,1,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_hard_r72,qwen-turbo,hard,72,1,openai-compatible,5,2,0,2,0,1,70.34985179048314,1.310727617320353,1,44.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_hard_r73,qwen-turbo,hard,73,1,openai-compatible,4,2,0,1,0,1,70.72353895205958,1.321972497427037,0,44.0,nan,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_std_r71,qwen-turbo,std,71,1,openai-compatible,5,2,0,2,0,1,53.97506818994036,1.3613444651208653,1,35.0,47.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_std_r72,qwen-turbo,std,72,1,openai-compatible,5,2,0,2,0,1,50.60846242068079,1.339056383862541,1,35.0,45.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
qwen-turbo_std_r73,qwen-turbo,std,73,1,openai-compatible,4,2,0,1,0,1,51.49726321736841,1.3470276060410704,1,35.0,45.0,0.5174862694351612,0.004053625945382633,0.5174862694351612,0.004053625945382633,0.0,0.0,last_rejected
