evaluation,phase,candidate_kp,candidate_ki,objective,best_kp,best_ki,best_objective,expected_improvement,predicted_mean,predicted_std
1,IMC初始点,0.04665037555625709,8.462232695328587e-05,243.59241641388903,0.04665037555625709,8.462232695328587e-05,243.59241641388903,nan,nan,nan
2,随机初始探索,0.1381705851295852,0.06697010946287665,84.6068699499353,0.1381705851295852,0.06697010946287665,84.6068699499353,nan,nan,nan
3,随机初始探索,0.3174581803114078,0.0213078065200477,52.448673991832,0.3174581803114078,0.0213078065200477,52.448673991832,nan,nan,nan
4,随机初始探索,0.6092581725278857,0.001754062939928975,40.46119996833888,0.6092581725278857,0.001754062939928975,40.46119996833888,nan,nan,nan
5,随机初始探索,0.0029416233128606558,0.00026711147430328447,347.0744860075086,0.6092581725278857,0.001754062939928975,40.46119996833888,nan,nan,nan
6,随机初始探索,1.0786994280415798,0.0680512798594377,52.8943546720429,0.6092581725278857,0.001754062939928975,40.46119996833888,nan,nan,nan
7,随机初始探索,1.1344398678791805,0.0007093850011477001,47.75058016383895,0.6092581725278857,0.001754062939928975,40.46119996833888,nan,nan,nan
8,贝叶斯 EI 迭代,0.7513672291005846,1.1758308950757128e-05,44.970650409442065,0.6092581725278857,0.001754062939928975,40.46119996833888,3.469630570927747,55.965212385166595,23.12343794568574
9,贝叶斯 EI 迭代,0.6585872418207638,0.015776391916371705,40.94548491987368,0.6092581725278857,0.001754062939928975,40.46119996833888,0.8363060116833673,41.768542566652,3.5024956279907586
10,贝叶斯 EI 迭代,0.7648965512435757,0.00045769597590618994,44.09025136423787,0.6092581725278857,0.001754062939928975,40.46119996833888,0.45745426314091114,40.73205266665616,1.4719516806029718
11,贝叶斯 EI 迭代,0.5387396617360121,0.05762722665246654,57.18083436422125,0.6092581725278857,0.001754062939928975,40.46119996833888,1.1582840933633998,41.17973190884843,3.7458431493831177
12,贝叶斯 EI 迭代,1.176737195166795,1.3321728255843203e-05,48.1671306026117,0.6092581725278857,0.001754062939928975,40.46119996833888,3.59777424689248,42.407532438288,11.30127573048013
13,贝叶斯 EI 迭代,0.6265068944346303,0.005895908382254749,37.87096615694812,0.6265068944346303,0.005895908382254749,37.87096615694812,2.415752110588165,38.124150886541806,1.8312936045974633
14,贝叶斯 EI 迭代,0.8710500760766939,0.005320027409830413,43.13941172312423,0.6265068944346303,0.005895908382254749,37.87096615694812,0.6303697446394183,38.37399377693743,2.1625168056232855
