episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios,selected_policy_family
1.0,240.0,0.25,-83.04881157647013,-83.04881157647013,1.7136177482778077,10.0,40.0,11.0,14.666666666666666,10.0,0.4989249762137001,0.0036155837239760756,0.4662241284008595,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
2.0,480.0,0.24966666666666668,-58.433825814906236,-70.74131869568818,1.172290523232976,10.0,40.0,11.0,14.666666666666666,1.0,0.4836716388703561,0.0035608078424523167,0.4273721177007879,0.0036814478072466905,nan,nan,nan,nan,inf,48.0,16.0,
3.0,720.0,0.24933333333333332,-66.80305593770863,-69.42856444302834,1.3912918163600925,14.0,56.00000000000001,21.0,28.000000000000004,15.0,0.5157967934955734,0.0038078785434094106,0.5180268093342884,0.003651022618757048,nan,nan,nan,nan,inf,48.0,16.0,
4.0,960.0,0.249,-103.12359656861989,-77.85232247442622,2.139369743598865,16.0,64.0,23.0,30.666666666666664,6.0,0.5596296050947536,0.003760609583918465,0.5400274079267157,0.0032859203568813434,nan,nan,nan,nan,inf,48.0,16.0,
5.0,1200.0,0.24866666666666667,-63.43489073171913,-74.96883612588479,1.2901093621054442,18.0,72.0,25.0,33.33333333333333,5.0,0.4799742356564036,0.003620777029589448,0.5180268093342884,0.0038900224821308634,nan,nan,nan,nan,inf,48.0,16.0,
6.0,1440.0,0.24833333333333332,-25.939524439974697,-66.79728417823311,0.5399960238515141,18.0,72.0,25.0,33.33333333333333,1.0,0.5080892609923489,0.003621333427586469,0.6000304532519063,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
7.0,1680.0,0.248,-50.255289102522724,-64.4341420245602,1.0591312408123914,18.0,72.0,25.0,33.33333333333333,1.0,0.49499444317796204,0.003491410474166549,0.5128465412409455,0.003253061153312531,nan,nan,nan,nan,inf,48.0,16.0,
8.0,1920.0,0.24766666666666667,-145.76143322654755,-74.60005342480862,2.9511951345094043,20.0,80.0,29.0,38.666666666666664,8.0,0.4893485592991203,0.0034815241755368175,0.5171202624179535,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
9.0,2160.0,0.24733333333333332,-118.66495012181521,-79.49615305780935,2.4513325030202906,20.0,80.0,30.0,40.0,4.0,0.4939171374233052,0.0036799519175875865,0.4569462682456825,0.0030425188489642064,nan,nan,nan,nan,inf,48.0,16.0,
10.0,2400.0,0.247,-42.228948801843515,-75.76943263221277,0.9198164036618081,20.0,80.0,30.0,40.0,3.0,0.48167625875865255,0.0037405060497709406,0.4654082361761581,0.004056691798618942,nan,nan,nan,nan,inf,48.0,16.0,
11.0,2640.0,0.24666666666666667,-83.78893417575523,-76.49847822708027,1.7412152485501171,20.0,80.0,31.0,41.333333333333336,6.0,0.5161968268563338,0.003845202975108148,0.41125164142111426,0.0032205305417794053,nan,nan,nan,nan,inf,48.0,16.0,
