case,controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,fallback_fraction,stable,bounded,comfort_held,recovery_ok,actuator_compliant,validation_passed,objective
初次快速降温,Bayesian Auto-tune,2.6824808418001687,6.212387937246758,5.418595172676588,4.543147837556518,0.9661250958047596,7.740701023105938,4.0,4.0,0.0,14.07503248094767,7.35,0.050000000000000044,0.0,0.0,4.0,4.0,0.14221245846318073,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,71.18119650462631
初次快速降温,Ziegler-Nichols,2.727148989050063,6.805416906007156,7.065287587120001,5.046395459449411,1.5032555099430418,7.740701023105938,4.0,4.0,0.0,15.321634016447023,7.7,0.050000000000000044,0.0,0.0,3.0,4.0,0.19359955923623906,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,81.56383051872962
初次快速降温,IMC PI,2.6659835195581967,5.769018811702911,4.079712972029574,4.3994682884809935,0.772317607845519,7.740701023105938,2.6166666666666667,2.6166666666666667,1.0,14.121521576297699,4.970000000000001,0.050000000000000044,0.0,0.0,2.0,2.0,0.09366648301509962,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,65.56006548488504
初次快速降温,FNN Self-tuning PI,2.6675536639087616,5.796966763997004,4.128394821086773,4.418097354428873,0.815132617169251,7.740701023105938,2.6166666666666667,2.6166666666666667,1.0,14.153577069893316,5.08,0.050000000000000044,0.0,0.0,2.0,2.0,0.09820896334429503,90.42033195020747,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,66.01618041914341
初次快速降温,RL Self-tuning PI,2.6527932139628523,5.516300302263474,3.5376912030953416,4.268170495613844,0.36275374552894846,7.740701023105938,2.533333333333333,2.533333333333333,1.0,14.146306571369303,3.9,0.050000000000000044,0.0,0.0,1.0,1.0,0.07027770871713641,89.66390041493776,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,61.56915926323444
设定温度突变,Bayesian Auto-tune,0.9874994836571035,3.8571000256093875,8.461911978178797,1.785983178433965,1.4695887548644713,2.82917570629872,5.0,4.0,0.0,13.587185314566018,8.64,0.050000000000000044,0.0,0.0,5.0,5.0,0.12285415172017969,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,45.40667175334266
设定温度突变,Ziegler-Nichols,1.100820160328444,4.781001135861253,10.953880557252008,2.5645199122442355,1.833251672803808,2.089772452378533,5.0,4.0,0.0,14.91686372310672,9.7,0.050000000000000044,0.0,0.0,4.0,5.0,0.18397838875950595,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,60.016315076432555
设定温度突变,IMC PI,0.9305843544840099,3.441125865950331,7.119937781407878,1.486917385853844,1.2090560196882763,2.83663325299198,5.0,4.0,0.0,13.1222977179747,7.91,0.050000000000000044,0.0,0.0,5.0,5.0,0.09261480116113507,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,38.70296514819816
设定温度突变,FNN Self-tuning PI,0.937677369034127,3.45417328359426,7.103744800565019,1.5016899346779895,1.2856844258183422,2.86347786516777,5.0,4.0,0.0,13.156836830514433,7.830000000000001,0.050000000000000044,0.0,0.0,5.0,5.0,0.09270044701493362,131.64152823920267,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,39.07655925763913
设定温度突变,RL Self-tuning PI,0.8987038141698594,3.306060417902567,6.8671871001018845,1.3984541403055093,0.9284076828111338,2.7213220604112855,5.0,4.0,0.0,13.151793120029915,7.520000000000001,0.050000000000000044,0.0,0.0,5.0,5.0,0.08034445535921238,94.50066445182725,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,36.28778395299835
持续外界热扰动,Bayesian Auto-tune,1.1605736170822334,6.043953409221441,17.161404125664394,3.389696895674559,1.7770091169619207,2.142022287297692,6.0,2.8,0.0,22.991438138821955,10.75,0.050000000000000044,0.0,0.0,5.0,5.0,0.1682493182219289,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,80.4806554094085
持续外界热扰动,Ziegler-Nichols,1.2759533304263724,6.6972762178085,19.69438666162477,4.021047313560388,2.2673300764388387,2.0936569681951873,6.0,2.8,0.0,23.72232470291958,9.7,0.050000000000000044,0.0,0.0,4.0,5.0,0.19885595107465412,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,93.31962982927058
持续外界热扰动,IMC PI,1.0830209490729554,5.569786278378789,15.233147565732823,2.951779957362233,1.3150860440167982,2.099847386660965,6.0,2.8,0.0,23.53252404234616,10.98,0.050000000000000044,0.0,0.0,5.0,5.0,0.14558767965255026,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,70.88565084742152
持续外界热扰动,FNN Self-tuning PI,1.064409188567981,5.527273457998928,15.12792814810942,2.9033521284259516,1.4058965531555643,2.0202216589155917,6.0,2.8,0.0,23.530482023189744,10.98,0.050000000000000044,0.0,0.0,5.0,5.0,0.14687808258070456,89.29501385041553,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,70.43182197004252
持续外界热扰动,RL Self-tuning PI,1.0680979715821055,5.455124891251234,15.430901902224006,2.858285712234233,1.4889676712953381,2.069003040290582,6.0,2.8,0.0,23.425822177175228,10.43,0.050000000000000044,0.0,0.0,5.0,5.0,0.1371813491302246,67.4432132963989,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,70.48817704911559
