training_scenario,state_samples,occupied_rules,rule_coverage_pct,training_log_rmse,max_rule_log_change,mean_rule_kp,mean_rule_ki,center_rule_kp,center_rule_ki,high_error_rule_kp,high_error_rule_ki,fit_scenarios,validation_scenarios,selected_policy_family,label_conflict_high,validation_baseline_objective,validation_learned_objective,deployment_accepted,selected_prior_weight,selected_candidate_family
1.0,93.0,24.0,96.0,1.5986004901804327,4.382080777688945,0.4550373129077297,0.00202069943965522,0.5012207971276609,0.0039336852110186836,0.46457355758432994,0.0012765487208930876,48.0,16.0,,nan,nan,nan,nan,nan,
2.0,186.0,25.0,100.0,1.4198796636439641,1.8334778655688844,0.45673257607906464,0.0022575049977731805,0.40206800265487413,0.004111367750239007,0.49983526242619847,0.0025682451721944235,48.0,16.0,,nan,nan,nan,nan,nan,
3.0,279.0,25.0,100.0,1.2567255194434448,1.0553303891774304,0.4552356955188085,0.0024437500801737107,0.39134479928230925,0.004252969721168397,0.40240147424706196,0.003169783226808917,48.0,16.0,,nan,nan,nan,nan,nan,
4.0,372.0,25.0,100.0,1.137688429388483,0.43053521043126874,0.4708209275409969,0.0025235929545623383,0.45906259783263115,0.004361589100455313,0.40240147424706196,0.003169783226808917,48.0,16.0,,nan,nan,nan,nan,nan,
5.0,465.0,25.0,100.0,1.0677236115151576,1.140654899683601,0.4685705451155484,0.0026206711403734483,0.4630252253387573,0.0043018653699295984,0.40240147424706196,0.003169783226808917,48.0,16.0,,nan,nan,nan,nan,nan,
6.0,558.0,25.0,100.0,1.0109825976992293,0.21530932944423942,0.453517345362605,0.0026430103611354556,0.4344620541871286,0.004083530155259816,0.40240147424706196,0.003169783226808917,48.0,16.0,,nan,nan,nan,nan,nan,
7.0,651.0,25.0,100.0,1.3102149903683213,0.6811984025307893,0.46247213934739306,0.0025414691871375405,0.46971617583669684,0.0024594013502128994,0.40240147424706196,0.003169783226808917,48.0,16.0,,nan,nan,nan,nan,nan,
8.0,744.0,25.0,100.0,1.250242056446362,0.33511964467209854,0.46631593793693116,0.002642236082506341,0.4731587898409343,0.0026470137478327525,0.4045780285987573,0.003188226935970916,48.0,16.0,,nan,nan,nan,nan,nan,
9.0,837.0,25.0,100.0,1.278996468387241,0.5572888626047563,0.4755574646505357,0.002916577922515639,0.4863381218363234,0.00310995394451276,0.41442830800388397,0.003495329949971156,48.0,16.0,,nan,nan,nan,nan,nan,
10.0,930.0,25.0,100.0,1.4422381722014748,1.112417201590966,0.48368561354639295,0.0025254717496645046,0.48798056644069054,0.002941793424026078,0.4149668836895034,0.0034560648264755664,48.0,16.0,,nan,nan,nan,nan,nan,
11.0,1023.0,25.0,100.0,1.3982956148675165,0.24188051832592095,0.48708413218072655,0.00263551388677171,0.4924740703757232,0.0031329992104171494,0.41513493256568756,0.0034595416110057594,48.0,16.0,,nan,nan,nan,nan,nan,
12.0,1116.0,25.0,100.0,1.34307856675744,0.11830785199742877,0.4893745421324134,0.0026684547256964637,0.495186012066022,0.00324902298735534,0.4330767999499895,0.003401246404499676,48.0,16.0,,nan,nan,nan,nan,nan,
13.0,1209.0,25.0,100.0,1.3003309032888013,0.14370673870334727,0.4944092588983042,0.002693501224089406,0.5106313946947374,0.003265064268421977,0.4330767999499895,0.003401246404499676,48.0,16.0,,nan,nan,nan,nan,nan,
