path,bytes,md5
.env.example,376,9e2154529c323b31b8f592de74c5f46c
.github\workflows\ci.yml,2509,c8237e3bbe373376507b3011ecd9ca58
.gitignore,1778,d2b963077a0e8118b3fb2b63f66146f7
.pytest_cache\.gitignore,39,85757ff2adfbaf633a1dd16a265f8826
.pytest_cache\CACHEDIR.TAG,191,f552fcc7d0ecdb6607533519d6898357
.pytest_cache\README.md,310,11c87436abd496719b2727c87d217993
.pytest_cache\v\cache\nodeids,3591,a2c82fec993ea51add0d474bc7f44b22
.pytest_cache\v\cache\stepwise,2,d751713988987e9331980363e24189ce
__pycache__\aggregate_llm_matrix.cpython-311.pyc,14632,29d446ec595de134b59e30d54f91a478
aggregate_llm_matrix.py,7204,88c00306f4b4c1c804897c9b8389bd32
ALGORITHM_GUIDE.md,9787,6f9f3a355ea21a63ecb4e8de7e071067
ARCHITECTURE.md,2463,a50c12ed266cd9a89167e92cfcd0babf
artifacts\README.md,655,fb86c4f5f0b2b484381826c6e1420830
artifacts\runs\v4-20260906-2870262\cross_validation_environment.csv,544,e585ca86372ec9b525b9c0aab2da4074
artifacts\runs\v4-20260906-2870262\embedded_smoke\bo_temperature_demo.csv,77073,cb78bfdb37313eb662b420504e9c5db0
artifacts\runs\v4-20260906-2870262\embedded_smoke\bo_temperature_demo.html,122743,90ece14f33f22d6c652282e1d48c8643
artifacts\runs\v4-20260906-2870262\embedded_smoke\fnn_temperature_demo.csv,69874,a9facb89ff6bf0b1e11c317c7b663133
artifacts\runs\v4-20260906-2870262\embedded_smoke\fnn_temperature_demo.html,117869,4c8e459d9d29dd6644bad79cd8aff6ce
artifacts\runs\v4-20260906-2870262\embedded_smoke\imc_temperature_demo.csv,67736,c84cdf6c2ecc393fc44345c9ec9a5304
artifacts\runs\v4-20260906-2870262\embedded_smoke\imc_temperature_demo.html,117734,b5f9b851fb7bd5143840fa0808a9cb89
artifacts\runs\v4-20260906-2870262\embedded_smoke\llm_agent_trace.csv,1603,c31905c4a76a9337bd53009a48d01a43
artifacts\runs\v4-20260906-2870262\embedded_smoke\llm_temperature_demo.csv,71374,923ed8c5ba5d4c11ca2cae988d98e3cd
artifacts\runs\v4-20260906-2870262\embedded_smoke\llm_temperature_demo.html,121446,78f273f8d3759924481eaa2ce2d37d59
artifacts\runs\v4-20260906-2870262\embedded_smoke\rl_temperature_demo.csv,70966,2f49a18fd25d3bdeefc5955d2747e79d
artifacts\runs\v4-20260906-2870262\embedded_smoke\rl_temperature_demo.html,117562,921ccef02d0ec6efa21f04e5595d15f7
artifacts\runs\v4-20260906-2870262\embedded_smoke\safe_bo_temperature_demo.csv,72744,a8d51eadbe796386e4b7f7631dd6af38
artifacts\runs\v4-20260906-2870262\embedded_smoke\safe_bo_temperature_demo.html,117417,533b38d14c0ab558ae9389eb4bd827b8
artifacts\runs\v4-20260906-2870262\embedded_smoke\seven_algorithm_summary.csv,4584,8bf31b5ccf77e6ef5c1500db7f237d60
artifacts\runs\v4-20260906-2870262\embedded_smoke\temperature_control_demo.html,726056,a97b1ddd91c2919e87b9d48c10987e15
artifacts\runs\v4-20260906-2870262\embedded_smoke\zn_temperature_demo.csv,64727,a7d45292a3caaf52a594aad7b896b7bb
artifacts\runs\v4-20260906-2870262\embedded_smoke\zn_temperature_demo.html,119989,3700dd0c9688d6ea4fd9d788a5670504
artifacts\runs\v4-20260906-2870262\environment.json,358,0aac17792d6a1c90a86ad1ea1a0f2329
artifacts\runs\v4-20260906-2870262\fopdt_cross_validation.csv,683,428903d15f746a4ebfe2f02611680630
artifacts\runs\v4-20260906-2870262\fopdt_cross_validation.png,256134,db9d3c9615e263ba1c7a3782b5d1697c
