case,method,mode,iae,undershoot,movement,inference_calls,inference_seconds
nominal,ZN,fixed,49.34790278607127,0.017845804603393134,1.7473496822629424,0,0
nominal,SIMC,fixed,77.9949859104928,0.0,1.3750302331251918,0,0
nominal,BO,fixed,48.7412801020619,0.05767023219388179,2.337615713454918,0,0
nominal,FNN,fixed,48.46761765422411,0.03360878583576721,1.811591213000899,0,0
nominal,LLM,fixed,48.48649923821667,0.03368301056963219,1.8771968040561915,0,0
nominal,Q-Learning,online,72.02928859562628,0.02969605150927279,5.166809765930536,60,0.002686800027731806
nominal,DQN,online,69.65649461350301,0.0,2.9924091045773147,60,0.03777869965415448
slower,ZN,fixed,66.15056307438603,0.00471100339276731,1.6400324503301564,0,0
slower,SIMC,fixed,82.05141564388991,0.0,1.3551018993249997,0,0
slower,BO,fixed,66.79325728564524,0.08086635495512695,2.343109983946831,0,0
slower,FNN,fixed,67.30327850916827,0.09662059710725046,2.137684597058042,0,0
slower,LLM,fixed,66.4006167165385,0.05063265550534979,1.9805091494495168,0,0
slower,Q-Learning,online,82.06758478067721,0.06155971084618628,4.784513048002156,60,0.0022551004076376557
slower,DQN,online,81.46339444785914,0.0034188561222805447,2.892456200520125,60,0.005868300097063184
long_delay,ZN,fixed,84.29890787406086,0.2760855437847134,5.62290760035453,0,0
long_delay,SIMC,fixed,94.49024236807003,0.0,1.461605283783089,0,0
long_delay,BO,fixed,93.79277418943508,0.28747951232477575,5.992985502771803,0,0
long_delay,FNN,fixed,86.40494314812997,0.3032620645512729,4.860540935609313,0,0
long_delay,LLM,fixed,88.61505478906633,0.28592087812771894,5.414794649881905,0,0
long_delay,Q-Learning,online,81.98995620707076,0.0,4.513138849975023,60,0.0021416997769847512
long_delay,DQN,online,85.78059957280117,0.0,3.7782347959995457,60,0.006660499726422131
larger_load,ZN,fixed,50.03787577175875,2.772078675761236e-05,1.6276757522776002,0,0
larger_load,SIMC,fixed,82.00528273797511,0.0,1.4375185062977074,0,0
larger_load,BO,fixed,48.94994089495253,0.038397638613254514,2.1088288532205617,0,0
larger_load,FNN,fixed,49.04268874323122,0.03360878583576721,1.839098658382976,0,0
larger_load,LLM,fixed,48.96339999790733,0.006370809623032159,1.7575686482148951,0,0
larger_load,Q-Learning,online,74.78192425550014,0.014741224416042087,5.395689803208983,60,0.0019444999634288251
larger_load,DQN,online,73.02578857374644,0.0,3.6713791178176844,60,0.009053400077391416
