episode,return,loss
1,-90.4962388819542,
2,-68.21349643094678,
3,-88.6822213045332,
4,-97.0386068726941,
5,-83.35481973977416,9.89979755613539
6,-94.28198200400178,8.797703770796458
7,-72.47352270932184,8.263414420684178
8,-56.47672011200316,6.0524436394373575
9,-80.31942529147506,4.468178940812747
10,-109.92693319554753,3.420862737049659
11,-62.769490933791126,3.1685435069104035
12,-82.01313145898312,3.391881807645162
13,-81.90804903534153,3.6115700622399647
14,-108.67155441610255,3.40119794656833
15,-70.07370303664932,2.808279599746068
16,-97.48289376808903,3.212915967404842
17,-62.97809551092493,3.4728805546959243
18,-94.91053727921246,2.9422214835882188
19,-112.17958311452455,2.9418215413888293
20,-91.42838321431888,3.3248497530817986
21,-75.78755231881468,3.6891604070862134
22,-89.19278090140983,4.192999704678853
23,-78.27308929090131,3.521790874997775
24,-80.55995617472733,3.6519410411516824
25,-69.9989702136347,2.8644684314727784
26,-70.15651798195374,4.905678786834081
27,-120.80933147427261,3.8564873447020847
28,-88.41070878277569,4.17385087410609
29,-87.65196523317694,4.371520047386487
30,-106.93355952546183,3.486790614326795
31,-92.59353590001628,3.670171238978704
32,-64.17464194461346,4.334072002768517
33,-88.53963218134771,3.7668677697579067
34,-130.8491421395018,3.759599757194519
35,-89.16605344010968,4.575494519869486
36,-48.30461231507885,4.94346897204717
37,-84.5245390947128,3.4346107453107835
38,-79.254998694039,4.105781853199005
39,-68.90708735985783,4.063069933652878
40,-72.05952383984088,4.004917242129644
41,-100.82820766164905,3.6096246421337126
42,-97.21521790462533,3.557658902804057
43,-89.36489255877429,3.458732044696808
44,-85.6486247809957,4.528378373384475
45,-71.18155754848743,4.855186889568965
46,-77.49266499825036,3.4523467381795245
47,-102.95899365725367,3.3477884411811827
48,-66.26890074575392,4.001885863145192
49,-121.86771803244118,4.4928067048390705
50,-84.08174383582998,5.0976258516311646
51,-110.9216834760012,3.7767256597677865
52,-72.01241065357702,4.25211104353269
53,-92.22989335716447,4.047535043954849
54,-69.96674335277335,4.131033786137899
55,-66.2877784797312,3.6312871237595874
56,-89.89942629845471,5.1182197789351145
57,-84.6499714703176,3.988840295871099
58,-101.26802166664571,5.208347113927205
59,-68.38950558432433,4.543598115444183
60,-67.71766966650695,4.31055538058281
61,-67.26809242019601,4.97044464747111
62,-70.1017254383611,4.392944075663885
63,-79.52711008088131,4.368139783541362
64,-108.65849630096591,4.1248112161954245
65,-105.42492509553828,4.418575092156728
66,-84.65427798119167,4.103608926137288
67,-108.8110285973958,4.76192654967308
68,-83.29024151660293,4.53871520558993
69,-60.09505438426468,4.952574266990026
70,-97.81971332879104,4.6120393911997475
71,-69.86179186131322,4.700478440523147
72,-83.61161520174136,5.22003806233406
73,-102.5377096641667,4.397475930054982
74,-65.00790345764415,5.009641673167547
75,-79.68417698787772,5.509362139304479
76,-91.68028511170749,5.305011427402496
77,-80.72526735079552,4.863716963926951
78,-61.984221671969834,5.301519509156545
79,-62.111896006561345,5.003201568126679
80,-92.20984776894007,5.784067491690318
81,-80.41370500740123,5.510102885961532
82,-74.18468680323545,4.895518370469412
83,-86.46037037026436,5.769540564219157
84,-97.58819607089907,5.544497239589691
85,-98.08793212219254,5.754157173633575
86,-65.03414292140396,5.650433540344238
87,-123.64961944845273,6.091304902235667
88,-89.0960086342226,6.379655208190282
89,-90.88447613123428,5.803248540560404
90,-117.91374481464206,6.4382963418960575
91,-73.49029906621598,7.694414059321086
92,-60.4271465974643,6.182291467984517
93,-88.23758754697246,7.292736180623373
94,-79.32767900437277,6.534055006504059
95,-95.93339311328178,6.192320835590363
96,-85.11597989969559,6.609146010875702
97,-78.56443448465242,8.05228761434555
98,-79.04991457113105,6.188382637500763
99,-74.65454696669957,7.201592222849528
100,-127.95925518404934,6.954526277383168
101,-92.12904237782436,6.250969962279002
102,-105.58005581434581,7.078908010323842
103,-68.74561348101346,7.296429471174876
104,-67.91649336628473,7.050744231541952
105,-64.67653415100808,8.364781538645426
106,-87.06709413626703,7.9406720439592995
107,-88.58836242891914,8.160454718271891
108,-90.25720562949468,8.832470575968424
109,-70.75143178535761,9.085992336273193
110,-80.82477590952706,7.868223444620768
111,-73.80252252907337,7.3540795087814335
112,-93.08765608495047,9.125685707728069
113,-106.11419770426846,8.781990698973338
114,-45.13736530267637,8.247751824061076
115,-85.11240333135021,7.796217155456543
116,-76.26213707569536,8.091577235857645
117,-72.75816372432601,9.241672984759013
118,-69.43803963681076,8.207545379797617
119,-59.924135995638125,7.725905332962672
120,-72.40003077295437,7.409892517328262
121,-86.79775342710896,8.084740314881007
122,-60.703706718023575,9.049209304650624
123,-88.17335024351705,8.685148447751999
124,-102.72343956125209,7.9646721144517265
125,-71.60076145677283,8.045620560646057
126,-43.58284464800684,8.536073597272237
127,-95.88543617094481,8.915776912371317
128,-57.93173804130278,8.506970965862275
129,-75.0796122556831,8.385865008831024
130,-80.63163767533622,9.55649492740631
131,-80.48956939750437,8.171868826945623
132,-97.57411160978056,7.448010287682215
133,-77.38883015391866,9.074605373541514
134,-67.08676131160279,8.932536009947459
135,-124.29113895287661,8.95405371983846
136,-87.77682647458508,8.860943424701691
137,-85.24593877978913,7.967790317535401
138,-56.27687389996031,8.59378586212794
139,-109.8420006034834,9.478542238473892
140,-69.87142617251577,8.198441569010416
141,-76.17530513416277,8.213603965441386
142,-88.72838041661419,9.373865977923076
143,-99.06706065796669,8.770865909258525
144,-109.36544729084832,9.286162956555684
145,-104.27267315441492,9.124873286485672
146,-70.95452257415307,9.25370586713155
147,-125.0081919379899,9.950971440474193
148,-85.75020100580389,8.720811446507772
