episode,return,iae,kp,ki,gradient,gradient_kp,gradient_ki,gradient_logits,logits,noise,noise_std,noise_mean,noise_l2,steps,status
0,-79.08364732686586,79.08364732686586,0.28846153846154043,0.01442307692307698,"[-7577.758273919086, 233077.23857928847]",-7577.758273919086,233077.23857928847,"[-3017.249903040521, 6957.494684083313]","[0.36160675141523163, 0.33794665143474223]","{'std': 0.1, 'mean': -0.0032019938571554397, 'sample_std': 0.09778154429411474, 'l2': 3.3890676893570335, 'first': 0.01257302210933933, 'last': -0.11733269767074715, 'samples': 1200}",0.1,-0.0032019938571554397,3.3890676893570335,1200,updated
1,-69.70161659398194,69.70161659398194,0.2766641398039315,0.01664206758920262,"[-12943.212912207338, -61221.292821292445]",-12943.212912207338,-61221.292821292445,"[-4968.501835662224, -2081.7973562872244]","[0.33143425238482643, 0.4075215982755754]","{'std': 0.1, 'mean': -0.001897664726048094, 'sample_std': 0.10236678306524315, 'l2': 3.546698646325459, 'first': -0.13268318329262696, 'last': -0.0613995312396169, 'samples': 1200}",0.1,-0.001897664726048094,3.546698646325459,1200,updated
2,-68.3320358299847,68.3320358299847,0.2581649240781021,0.015947610737628983,"[9584.91350107124, 143775.3688114008]",9584.91350107124,143775.3688114008,"[3459.377012695143, 4704.145267587395]","[0.2817492340282042, 0.38670362471270314]","{'std': 0.1, 'mean': -0.001568919658001621, 'sample_std': 0.09954327970538622, 'l2': 3.4487086354282854, 'first': 0.1524116162135097, 'last': 0.03479771322066018, 'samples': 1200}",0.1,-0.001568919658001621,3.4487086354282854,1200,updated
3,-65.54961402751462,65.54961402751462,0.2709243723091747,0.01755557920238459,"[10921.486838817586, -175577.8942731934]",10921.486838817586,-175577.8942731934,"[4115.404556421523, -6264.020525640048]","[0.3163430041551556, 0.4337450773885771]","{'std': 0.1, 'mean': 0.004675299127549556, 'sample_std': 0.0986789441937238, 'l2': 3.422173423271262, 'first': 0.028370675807921332, 'last': -0.1106572109560538, 'samples': 1200}",0.1,0.004675299127549556,3.422173423271262,1200,updated
4,-74.55826493399947,74.55826493399947,0.2868292076475785,0.015444592588476984,"[18026.74444628393, 64680.07424956179]",18026.74444628393,64680.07424956179,"[7142.343770397296, 2055.4923488257054]","[0.3574970497193708, 0.3711048721321766]","{'std': 0.1, 'mean': 0.001290230782854211, 'sample_std': 0.09917631785210676, 'l2': 3.4358591446405606, 'first': 0.0788291121573126, 'last': -0.009355873334457324, 'samples': 1200}",0.1,0.001290230782854211,3.4358591446405606,1200,updated
5,-76.87633154951617,76.87633154951617,0.3163617158525338,0.01611051969551561,"[8204.766868434954, -91368.37177586777]",8204.766868434954,-91368.37177586777,"[3536.1428702355784, -3017.1187715284027]","[0.42892048742334377, 0.3916597956204336]","{'std': 0.1, 'mean': 0.0012655332001403658, 'sample_std': 0.10206737344121201, 'l2': 3.5359893035135426, 'first': -0.13518646296168105, 'last': 0.021013870299473002, 'samples': 1200}",0.1,0.0012655332001403658,3.5359893035135426,1200,updated
6,-81.00036124695004,81.00036124695004,0.33191391357643635,0.015141735092679161,"[21366.08447079455, 143796.92335863176]",21366.08447079455,143796.92335863176,"[9586.425775852238, 4487.976524004107]","[0.4642819161256996, 0.3614886079051496]","{'std': 0.1, 'mean': -0.0003209899762268783, 'sample_std': 0.10159251426077298, 'l2': 3.5192854936859326, 'first': 0.0587680883490243, 'last': 0.11775986370621896, 'samples': 1200}",0.1,-0.0003209899762268783,3.5192854936859326,1200,updated
7,-80.58180130285103,80.58180130285103,0.3772714091637106,0.01660289442052135,"[-117.86545608371397, -261282.7384294559]",-117.86545608371397,-261282.7384294559,"[-58.683120756832324, -8865.918273758349]","[0.5601461738842219, 0.40636837314519064]","{'std': 0.1, 'mean': 0.006650987141497504, 'sample_std': 0.09822774379439303, 'l2': 3.410500012765275, 'first': 0.0882550641173284, 'last': 0.11004935520712245, 'samples': 1200}",0.1,0.006650987141497504,3.410500012765275,1200,updated
8,-90.37496217984659,90.37496217984659,0.3769793260390404,0.013830490001585276,"[-3715.6083578021776, 92751.72792564098]",-3715.6083578021776,92751.72792564098,"[-1848.7992893398975, 2663.683013448716]","[0.5595593426766536, 0.31770919040760714]","{'std': 0.1, 'mean': -0.001109540949439574, 'sample_std': 0.1000848315936084, 'l2': 3.467253309968472, 'first': 0.05480388085232684, 'last': 0.09123803895055405, 'samples': 1200}",0.1,-0.001109540949439574,3.467253309968472,1200,updated
9,-86.68119430847088,86.68119430847088,0.3678690391609003,0.014615268243263561,"[9505.590176714946, -80311.99765576159]",9505.590176714946,-80311.99765576159,"[4638.417082748694, -2426.6816431589]","[0.5410713497832547, 0.3443460205420943]","{'std': 0.1, 'mean': -0.0005859961070797961, 'sample_std': 0.0991082637080916, 'l2': 3.4332709756155526, 'first': -0.13713062585700148, 'last': 0.04062982715885865, 'samples': 1200}",0.1,-0.0005859961070797961,3.4332709756155526,1200,updated
