case,controller,rmse_c,iae_c_hour,itae_c_hour2,comfort_violation_c_hour,max_undershoot_c,max_overheat_c,settling_time_hour,disturbance_recovery_time_hour,disturbance_recovered,cooling_energy_kwh,control_movement,max_running_slew_per_minute,running_slew_violation_count,sub_minimum_running_fraction,compressor_start_events,compressor_stop_events,compressor_output_variance,mean_ai_inference_us,fallback_events,stable,objective
初次快速降温,Bayesian Auto-tune,2.633428874381283,5.928685986324413,4.946012773280036,4.414306775077046,0.8667150129871217,7.7257615981060255,4.0,4.0,0.0,13.913441117131189,6.15,0.050000000000000044,0.0,0.0,3.0,3.0,0.10520492415764192,0.0,0.0,1.0,68.19394898596804
初次快速降温,Ziegler-Nichols,2.679854863127307,6.662452689172528,7.053756540697378,4.900952125499671,1.4555773129673923,7.7257615981060255,4.0,4.0,0.0,14.965650429696469,7.7,0.050000000000000044,0.0,0.0,3.0,4.0,0.193881820216594,0.0,0.0,1.0,79.6579954138871
初次快速降温,IMC PI,2.6177693870433947,5.7279936822850726,4.345019876477792,4.207246702166726,0.5120987604883389,7.7257615981060255,2.566666666666667,2.566666666666667,1.0,14.039878115494849,3.71,0.050000000000000044,0.0,0.0,1.0,1.0,0.07244641793357554,0.0,0.0,1.0,63.03872448003836
初次快速降温,FNN Self-tuning PI,2.6129927027650144,5.5976900273218035,3.9804954599803533,4.178930859827381,0.5656142043885559,7.7257615981060255,2.55,2.55,1.0,14.100809161443586,3.71,0.050000000000000044,0.0,0.0,1.0,1.0,0.07311415781408721,81.39294605809128,0.0,1.0,62.104266503945134
初次快速降温,RL Self-tuning PI,2.6048303293743373,5.547191626848944,3.942061090448409,4.082392984505244,0.0,7.7257615981060255,1.8666666666666667,1.8666666666666667,1.0,14.071263812365405,3.07,0.050000000000000044,0.0,0.0,1.0,1.0,0.051980995506275704,58.83734439834024,0.0,1.0,58.97779372179616
设定温度突变,Bayesian Auto-tune,0.9139690203822624,3.4717284614444703,7.716273571508143,1.526126486876393,1.2186940097795542,2.8977139221882204,5.0,4.0,0.0,13.078118493323105,8.56,0.050000000000000044,0.0,0.0,5.0,5.0,0.10414770697895168,0.0,0.0,1.0,40.13908935053886
设定温度突变,Ziegler-Nichols,1.1082208663654067,4.777649940772077,11.196369253073637,2.564399170902778,1.7650109183795593,2.261505696792092,5.0,4.0,0.0,14.673440062352617,9.7,0.050000000000000044,0.0,0.0,4.0,5.0,0.18132389267226634,0.0,0.0,1.0,60.16190655112695
设定温度突变,IMC PI,0.8564370388683081,2.8511632929666186,5.09811752760046,1.266330135102935,0.942055428714557,2.7922679770762038,3.3333333333333335,2.3333333333333335,1.0,13.208339653947093,5.69,0.050000000000000044,0.0,0.0,3.0,3.0,0.055790896347722434,0.0,0.0,1.0,30.69801590342623
设定温度突变,FNN Self-tuning PI,0.8485539577133798,2.8018598030759847,4.900741379313769,1.2388890741205931,1.0223947699014815,2.790180986738168,3.316666666666667,2.316666666666667,1.0,13.281044507646431,5.680000000000001,0.050000000000000044,0.0,0.0,3.0,3.0,0.057469186874317055,68.90365448504983,0.0,1.0,30.265584157793047
设定温度突变,RL Self-tuning PI,0.713102993204365,2.5197101635346337,4.363727542270487,0.9117638403577782,0.7716283125423224,2.1870471144596166,3.2333333333333334,2.2333333333333334,1.0,13.317665408501247,5.46,0.050000000000000044,0.0,0.0,3.0,3.0,0.03956846833920155,49.271760797342196,0.0,1.0,24.813464557311377
持续外界热扰动,Bayesian Auto-tune,1.1997821888605478,6.081126258391312,17.184425600970812,3.4555251548977335,1.300886351892153,2.367538973585198,6.0,2.8,0.0,23.177092865270062,11.440000000000001,0.050000000000000044,0.0,0.0,5.0,6.0,0.15958260909600142,0.0,0.0,1.0,79.87136574223888
持续外界热扰动,Ziegler-Nichols,1.2329917361873721,6.462125776710775,18.753279657921276,3.7859593339864537,2.2085166222201273,2.0326096020917994,6.0,2.8,0.0,22.98450770156912,10.65,0.050000000000000044,0.0,0.0,5.0,5.0,0.19562923089908765,0.0,0.0,1.0,88.97302232398128
持续外界热扰动,IMC PI,1.075730369583826,5.192544279624402,14.18979228720468,2.684156859385233,0.742264860488266,2.54123810566265,6.0,2.8,0.0,23.327322347569595,10.579999999999998,0.050000000000000044,0.0,0.0,5.0,6.0,0.12431337543450405,0.0,0.0,1.0,64.12146936339066
持续外界热扰动,FNN Self-tuning PI,1.0723698116172686,5.2541005784800445,14.439585507408378,2.702843750933114,0.8398283327490539,2.5121104421375122,6.0,2.8,0.0,23.411625211839414,10.7,0.050000000000000044,0.0,0.0,5.0,6.0,0.12678589329425036,80.73518005540167,0.0,1.0,65.11142642913453
持续外界热扰动,RL Self-tuning PI,0.8941051036916756,4.420063790806734,12.036821851129071,2.0283237542698775,0.9270341748812179,1.9081195303288325,6.0,2.8,0.0,23.54080072894961,9.34,0.050000000000000044,0.0,0.0,4.0,5.0,0.09451466916306658,54.20609418282549,0.0,1.0,53.22617270499789
