scenario_id,split,split_seed,split_index,scenario_sha256
train-7-001-26cf997f89c4,train,7,1,26cf997f89c4dcfff86a650a8d07813d0743bd8a0d3f296200809057cc4de9c2
train-7-002-7809f4aa8ef6,train,7,2,7809f4aa8ef610bc95283d5e9928bbad04b1ce8aca55d5dc43a2ab996d8563a1
train-7-003-56a8edd98907,train,7,3,56a8edd98907f0a365efad95337450da1d99c576084d9c7a580732ad9854f16d
train-7-004-986fc8f8cc2c,train,7,4,986fc8f8cc2c1c6fa3e0bc7783761c49d8b18d83d047059d7c56180d241df1d6
train-7-005-fcfb978f1cd5,train,7,5,fcfb978f1cd5620e13c73fd1df10532af0c24b4194cf45623a613da8e02f1db0
train-7-006-52c73bf7d653,train,7,6,52c73bf7d653ceb5a429a3615598194e8f8a21b41a12f7ca5b3864dd3ace1ba9
train-7-007-fab098a8e4bf,train,7,7,fab098a8e4bf50fef45e371ebb094010528b3c8a22ac09076c03daa60de14b51
train-7-008-103622494539,train,7,8,103622494539aaa41f8e0c098291e95915053cc4b54c73e5cc8a44908355d2da
train-7-009-47ce4015dbd6,train,7,9,47ce4015dbd696e8c08baca348b59c4d1599ced446d0cc5384e502fc8005af96
train-7-010-56dc38db6d7d,train,7,10,56dc38db6d7d0e39f6404ed3c0fd7644f00ff4b0649b2e5a87dc663b1ec0c8dc
train-7-011-7b26f3247fd4,train,7,11,7b26f3247fd4ab4517eac7f7d796bcce4e7acecf31367c1cef865a73ae77a6b1
train-7-012-7ecd4fdfba66,train,7,12,7ecd4fdfba660ac8493452ed31363035b293da835f1c80501877f086e3e9d012
train-7-013-e918f8a42473,train,7,13,e918f8a424733399704212d8aec10c3e090c6cb4c48d25901ee156fb3e5d4caf
train-7-014-c4174f5f3ae5,train,7,14,c4174f5f3ae54ede7b37bab5941cb50e957e1e07ac875a20c7c6e7080b452d6d
train-7-015-6998a96638f5,train,7,15,6998a96638f579377dca0e5d229d153e2f1c6537e17e292da46f62a8235bbf62
train-7-016-4e7f9ccf8010,train,7,16,4e7f9ccf8010aa14c7adde4281ece3bcfe1713fcfc5f63633d5c32707091d907
train-7-017-316061b8f8e9,train,7,17,316061b8f8e94f222d30c3f48720d6694601ae172df95b8bcc2656cdd1af0763
train-7-018-ae1acec09df0,train,7,18,ae1acec09df0c0b7a37b65f543d701c3a0a080013af498801cb4fdb81b5f9b41
train-7-019-f4e4e0118280,train,7,19,f4e4e011828021e84a1abb0b0090b6a2e800fee800e71d2ebe915543a40307a6
train-7-020-fa1762b3478a,train,7,20,fa1762b3478a33a0ad69de31c68244968b1ea1ebef231c4b1dc44d60167e2a6e
validation-50010-001-96796c7874c0,validation,50010,1,96796c7874c0d0d96e5a0244be2c733f3eabc39c24add8215e65d32052a0e9b6
validation-50010-002-4960908901db,validation,50010,2,4960908901db5867cee14222c494328ec64598b641cc304df340c362add3f5aa
validation-50010-003-9dde4849ec83,validation,50010,3,9dde4849ec83d391c66889fd1cdec011e4a8c2fed6c8b3e67b316f213d989692
validation-50010-004-d9682b08ea25,validation,50010,4,d9682b08ea251fecbb3842138fd2029fa1632480d23fe4f4466292003385b9f8
validation-50010-005-2586144ff4ae,validation,50010,5,2586144ff4aed879a64f6365fd5fae8c50cd22a9e238c91eb0dcf33f8ea26160
validation-50010-006-da995ed70536,validation,50010,6,da995ed70536f6a1241cf90bc0269fb7b98632a7e45577f84b0039db6f226b4d
test-101-001-b41690e2df92,test,101,1,b41690e2df924e15aad058916a376a7331e03b2a7211d8131f401c17c395f8cf
test-101-002-7d960e29f69b,test,101,2,7d960e29f69b057905122fd7e86c4d08000f61a670307b803fab135e9941db73
test-101-003-fc41fd445283,test,101,3,fc41fd44528368f044678a61caf73ee7b7751f1e070423b4f2e85ff975589363
test-101-004-7519d7faa0e3,test,101,4,7519d7faa0e384f3bdad7a7ddac7526645290f9ea374faaa8cdd441d7c8d0e0a
test-101-005-d6e0a6c6f2e9,test,101,5,d6e0a6c6f2e970dc4007f6f594907f475013e129753bd1b3b7c67649cfbed126
test-101-006-d45deae7d4c8,test,101,6,d45deae7d4c8a714b64d456cf0cef469ca9772ec99d945f2ae69aa5c55ce4693
