controller,test_seed,scenario,baseline_objective,candidate_objective,stable,running_slew_violations,minimum_frequency_violations,adaptive_fraction,fallback_fraction,objective_ratio,mean_objective_ratio,upper95_objective_ratio,mean_adaptive_fraction,mean_fallback_fraction,coverage_ok,safety_ok,deployment_accepted
FNN,101.0,1.0,14.050812422289805,13.48022999256741,1.0,0.0,0.0,1.0,0.0,0.9593914990412056,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
FNN,101.0,2.0,36.2315803000479,36.02695034109832,1.0,0.0,0.0,1.0,0.0,0.9943521657831383,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
FNN,101.0,3.0,14.30568094108378,14.430687522414425,1.0,0.0,0.0,1.0,0.0,1.0087382475427398,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
FNN,101.0,4.0,23.970696198088692,23.307435596715255,1.0,0.0,0.0,1.0,0.0,0.972330357203963,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
FNN,101.0,5.0,39.02041761456223,38.69606286279381,1.0,0.0,0.0,1.0,0.0,0.9916875632912916,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
FNN,101.0,6.0,17.436480344680614,17.473247846829562,1.0,0.0,0.0,1.0,0.0,1.0021086538924218,0.988959443607754,0.9968722093777181,1.0,0.0,1,1,1
RL,101.0,1.0,14.050812422289805,14.405144566249563,1.0,0.0,0.0,0.31561461794019935,0.0,1.0252179114851505,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
RL,101.0,2.0,36.2315803000479,35.932961010809116,1.0,0.0,0.0,0.132890365448505,0.0,0.9917580385187231,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
RL,101.0,3.0,14.30568094108378,13.401608197196714,1.0,0.0,0.0,0.18272425249169436,0.0,0.936803235888569,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
RL,101.0,4.0,23.970696198088692,23.590438809373108,1.0,0.0,0.0,0.4983388704318937,0.0,0.9841365730234442,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
RL,101.0,5.0,39.02041761456223,37.282832944941454,1.0,0.0,0.0,0.48172757475083056,0.0,0.9554698597338355,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
RL,101.0,6.0,17.436480344680614,17.50000180599082,1.0,0.0,0.0,0.29900332225913623,0.0,1.0036430208421956,0.9799836767308475,0.9977877886598585,0.3183831672203765,0.0,1,1,1
