training_scenario,state_samples,occupied_rules,rule_coverage_pct,training_log_rmse,max_rule_log_change,mean_rule_kp,mean_rule_ki,center_rule_kp,center_rule_ki,high_error_rule_kp,high_error_rule_ki,fit_scenarios,validation_scenarios,selected_policy_family,label_conflict_high,validation_baseline_objective,validation_learned_objective,deployment_accepted,selected_prior_weight,selected_candidate_family
1.0,93.0,17.0,68.0,0.7122864877651165,1.249402361779718,0.4655999173146326,0.004171098889989921,0.48192542555568624,0.005407188688710677,0.451782638933735,0.0030893146862192994,20.0,6.0,,nan,nan,nan,nan,nan,
2.0,186.0,19.0,76.0,0.5807973277049808,0.40028356516081764,0.4819046496331773,0.00441030768689075,0.5111093604513537,0.005603704610624604,0.451782638933735,0.0030893146862192994,20.0,6.0,,nan,nan,nan,nan,nan,
3.0,279.0,21.0,84.0,0.5183736955736323,0.4131166919963425,0.48415127786482,0.0042345499705029755,0.5034909662889658,0.004978898036511678,0.5101322947756753,0.004363896084649014,20.0,6.0,,nan,nan,nan,nan,nan,
4.0,372.0,22.0,88.0,0.5089129225600381,0.432539880293378,0.47544635532328783,0.003897833652027405,0.49685972933379335,0.004705438853044521,0.5066011122518753,0.0043417247487625675,20.0,6.0,,nan,nan,nan,nan,nan,
5.0,465.0,23.0,92.0,0.4637154642653417,0.09934694396063382,0.4731864193015184,0.003846244391755252,0.49240756892426557,0.004528847910980343,0.4925021339840915,0.00393112141598115,20.0,6.0,,nan,nan,nan,nan,nan,
6.0,558.0,23.0,92.0,0.6468806830735323,0.3041291356257698,0.47837806408551914,0.003591770362347749,0.5064130233030498,0.003565047885921517,0.49249131064765816,0.003930881925417023,20.0,6.0,,nan,nan,nan,nan,nan,
7.0,651.0,23.0,92.0,0.6168847455943413,0.12537629872129674,0.4758385796116577,0.003519947254693793,0.49289986588952117,0.003440891636985566,0.49249131064765816,0.003930881925417023,20.0,6.0,,nan,nan,nan,nan,nan,
8.0,744.0,24.0,96.0,0.579322895826029,0.11308818274911925,0.4731847914196725,0.0034783155699080037,0.4841391650052408,0.0034700329208370104,0.49249131064765816,0.003930881925417023,20.0,6.0,,nan,nan,nan,nan,nan,
9.0,837.0,24.0,96.0,0.5515286494742273,0.06015020420646877,0.47068306853136177,0.003451241928415628,0.47601040368168046,0.0034030302393285943,0.49249131064765816,0.003930881925417023,20.0,6.0,,nan,nan,nan,nan,nan,
10.0,930.0,24.0,96.0,0.7318111122848401,1.3924497402405773,0.5160344795258852,0.004672967743177887,0.48667304488527136,0.0036800658362693044,0.5458000350995491,0.005184952090525907,20.0,6.0,,nan,nan,nan,nan,nan,
11.0,1023.0,24.0,96.0,0.7087076397438496,0.051613390760374855,0.515899462514015,0.004680092208501038,0.4901698747907481,0.003767236664989509,0.5366677963326101,0.005018533103130374,20.0,6.0,,nan,nan,nan,nan,nan,
12.0,1116.0,24.0,96.0,0.763696200565865,0.4238505214153925,0.5193148402162535,0.0044487294166796355,0.48946195454542224,0.0036492893552038564,0.5366677963326101,0.005018533103130374,20.0,6.0,,nan,nan,nan,nan,nan,
13.0,1209.0,25.0,100.0,0.7532121070409508,0.35100923311875365,0.4724896579010873,0.004173334295022214,0.4863827300941551,0.0036422493724582445,0.49705668573815553,0.004876649175807101,20.0,6.0,,nan,nan,nan,nan,nan,
14.0,1302.0,25.0,100.0,0.7284329325035805,0.03630734656554768,0.46734011395260167,0.004133527655565038,0.48036802917154897,0.003639782787134235,0.48876400874896797,0.004822020731469783,20.0,6.0,,nan,nan,nan,nan,nan,
15.0,1395.0,25.0,100.0,0.8465911174889822,0.4484769628466907,0.4818341333291896,0.0036307423209386656,0.4842435240286342,0.003462085712772925,0.4836353433591282,0.004757725921526111,20.0,6.0,,nan,nan,nan,nan,nan,
16.0,1488.0,25.0,100.0,0.8244676760646643,0.16960616775412507,0.47030114758413816,0.0036400388766160024,0.48055786443639437,0.003450501502888323,0.48306618186595823,0.0047465749770761395,20.0,6.0,,nan,nan,nan,nan,nan,
17.0,1581.0,25.0,100.0,0.8704084581049328,0.7611827597859477,0.4709670826535006,0.003274521711060945,0.47835997476310954,0.003385271287901653,0.493656557379293,0.0032470779877487727,20.0,6.0,,nan,nan,nan,nan,nan,
18.0,1674.0,25.0,100.0,0.8470757731557486,0.03309307832927666,0.4682396551370241,0.003282960959855522,0.4777146881013194,0.003391540044824092,0.4836884445553646,0.0032695950501878276,20.0,6.0,,nan,nan,nan,nan,nan,
19.0,1767.0,25.0,100.0,0.8308726224033486,0.03817945183325566,0.46688245767259295,0.0033058047834015874,0.4658380361188797,0.0035235308194513397,0.4836884445553646,0.0032695950501878276,20.0,6.0,,nan,nan,nan,nan,nan,
20.0,1860.0,25.0,100.0,0.8637677880117316,0.19847512480679796,0.4720065884429387,0.0034274146727800757,0.47348182472243644,0.003702667550732496,0.4847191658020716,0.003292507131495788,20.0,6.0,,1.0,31.58043564614928,30.078238605125865,1.0,-1.2,imc_residual_surface:context_scale=0
