"time","actuator.y","wall.T","zone.T","der(actuator.y)","der(wall.T)","der(zone.T)","commandInput.y","cooling.port.Q_flow","coolingGain.y","delay.y","doorLoad.y","equipment.port.Q_flow","occupiedLoad.y","outWall.Q_flow","outWall.dT","outZone.Q_flow","outZone.dT","outdoorBoundary.T","outdoorBoundary.port.Q_flow","totalLoad.y","wall.der_T","wall.port.Q_flow","zone.der_T","zone.port.Q_flow","zoneWall.Q_flow","zoneWall.dT","actuator.u","cooling.Q_flow","cooling.port.T","coolingGain.u","delay.u","equipment.Q_flow","equipment.port.T","outWall.port_a.Q_flow","outWall.port_a.T","outWall.port_b.Q_flow","outWall.port_b.T","outZone.port_a.Q_flow","outZone.port_a.T","outZone.port_b.Q_flow","outZone.port_b.T","outdoorBoundary.port.T","outdoorK.y","totalLoad.u2","totalLoad.u3","wall.port.T","zone.port.T","zoneWall.port_a.Q_flow","zoneWall.port_a.T","zoneWall.port_b.Q_flow","zoneWall.port_b.T"
0,0.45,303.3,301.65,0,-5.560615053151678e-06,-0.0009570780227524797,0.45,3420,-3420,0.45,0,-550,0,117.2801591495774,2.814723819589858,318.9088442564209,4.464723819589892,306.1147238195899,-436.1890034059983,550,-5.560615053151678e-06,-88.96984085042685,-0.0009570780227524797,-2344.841155743575,-206.2500000000043,-1.650000000000034,0.45,-3420,301.65,0.45,0.45,550,301.65,117.2801591495774,306.1147238195899,-117.2801591495774,303.3,318.9088442564209,306.1147238195899,-318.9088442564209,301.65,306.1147238195899,306.1147238195899,0,0,303.3,301.65,-206.2500000000043,301.65,206.2500000000043,303.3
6,0.45,303.2999665159653,301.6442590551275,0,-5.600726879665174e-06,-0.0009565702980167389,0.45,3420,-3420,0.45,0,-550,0,117.3518025300808,2.81644326072194,319.4393372542663,4.472150721559728,306.1164097766872,-436.7911397843471,550,-5.600726879665174e-06,-89.61163007464279,-0.0009565702980167389,-2343.59723014101,-206.9634326047236,-1.655707460837789,0.45,-3420,301.6442590551275,0.45,0.45,550,301.6442590551275,117.3518025300808,306.1164097766872,-117.3518025300808,303.2999665159653,319.4393372542663,306.1164097766872,-319.4393372542663,301.6442590551275,306.1164097766872,306.1164097766872,0,0,303.2999665159653,301.6442590551275,-206.9634326047236,301.6442590551275,206.9634326047236,303.2999665159653
12,0.45,303.2999327913788,301.6385211554835,0,-5.640811897132133e-06,-0.0009560628239679681,0.45,3420,-3420,0.45,0,-550,0,117.4234641327866,2.818163139186879,319.9696267915775,4.479574775082085,306.1180959305656,-437.3930909243642,550,-5.640811897132133e-06,-90.25299035411413,-0.0009560628239679681,-2342.353918721522,-207.6764544869008,-1.661411635895206,0.45,-3420,301.6385211554835,0.45,0.45,550,301.6385211554835,117.4234641327866,306.1180959305656,-117.4234641327866,303.2999327913788,319.9696267915775,306.1180959305656,-319.9696267915775,301.6385211554835,306.1180959305656,306.1180959305656,0,0,303.2999327913788,301.6385211554835,-207.6764544869008,301.6385211554835,207.6764544869008,303.2999327913788
18,0.45,303.299898826463,301.6327862989928,0,-5.680870124921208e-06,-0.0009555556004377805,0.45,3420,-3420,0.45,0,-550,0,117.4951439350404,2.819883454440969,320.4997129936576,4.486995981911207,306.119782280904,-437.994856928698,550,-5.680870124921208e-06,-90.89392199873933,-0.0009555556004377805,-2341.111221072562,-208.3890659337797,-1.667112527470238,0.45,-3420,301.6327862989928,0.45,0.45,550,301.6327862989928,117.4951439350404,306.119782280904,-117.4951439350404,303.299898826463,320.4997129936576,306.119782280904,-320.4997129936576,301.6327862989928,306.119782280904,306.119782280904,0,0,303.299898826463,301.6327862989928,-208.3890659337797,301.6327862989928,208.3890659337797,303.299898826463
24,0.45,303.299864621338,301.6270544845323,0,-5.72090157389038e-06,-0.0009550486273393902,0.45,3420,-3420,0.45,0,-550,0,117.5668419184674,2.821604206043219,321.0295959177805,4.494414342848927,306.1214688273812,-438.596437836248,550,-5.72090157389038e-06,-91.53442518224608,-0.0009550486273393902,-2339.869136981506,-209.1012671007135,-1.672810136805708,0.45,-3420,301.6270544845323,0.45,0.45,550,301.6270544845323,117.5668419184674,306.1214688273812,-117.5668419184674,303.299864621338,321.0295959177805,306.1214688273812,-321.0295959177805,301.6270544845323,306.1214688273812,306.1214688273812,0,0,303.299864621338,301.6270544845323,-209.1012671007135,301.6270544845323,209.1012671007135,303.299864621338
30,0.45,303.2998301764618,301.6213257078178,0,-5.760906283118614e-06,-0.0009545419043152916,0.45,3420,-3420,0.45,0,-550,0,117.6385580506031,2.823325393214475,321.5592758470344,4.501829861858482,306.1231555696763,-439.1978338976376,550,-5.760906283118614e-06,-92.17450052989781,-0.0009545419043152916,-2338.627665572465,-209.8130585805009,-1.678504468644007,0.45,-3420,301.6213257078178,0.45,0.45,550,301.6213257078178,117.6385580506031,306.1231555696763,-117.6385580506031,303.2998301764618,321.5592758470344,306.1231555696763,-321.5592758470344,301.6213257078178,306.1231555696763,306.1231555696763,0,0,303.2998301764618,301.6213257078178,-209.8130585805009,301.6213257078178,209.8130585805009,303.2998301764618
36,0.45,303.2997954916649,301.6155999704358,0,-5.800884239282045e-06,-0.0009540354315106943,0.45,3420,-3420,0.45,0,-550,0,117.7102923251283,2.825047015803079,322.0887526451577,4.509242537032208,306.124842507468,-439.799044970286,550,-5.800884239282045e-06,-92.81414782851272,-0.0009540354315106943,-2337.386807201201,-210.524440153641,-1.684195521229128,0.45,-3420,301.6155999704358,0.45,0.45,550,301.6155999704358,117.7102923251283,306.124842507468,-117.7102923251283,303.2997954916649,322.0887526451577,306.124842507468,-322.0887526451577,301.6155999704358,306.124842507468,306.124842507468,0,0,303.2997954916649,301.6155999704358,-210.524440153641,301.6155999704358,210.524440153641,303.2997954916649
42,0.45,303.2997605669473,301.6098772723861,0,-5.840835443217785e-06,-0.000953529208934951,0.45,3420,-3420,0.45,0,-550,0,117.7820447286635,2.826769073487924,322.618026289222,4.516652368049108,306.1265296404353,-440.4000710178855,550,-5.840835443217785e-06,-93.45336709148455,-0.000953529208934951,-2336.14656189063,-211.235411820148,-1.689883294561184,0.45,-3420,301.6098772723861,0.45,0.45,550,301.6098772723861,117.7820447286635,306.1265296404353,-117.7820447286635,303.2997605669473,322.618026289222,306.1265296404353,-322.618026289222,301.6098772723861,306.1265296404353,306.1265296404353,0,0,303.2997605669473,301.6098772723861,-211.235411820148,301.6098772723861,211.235411820148,303.2997605669473
48,0.45,303.2997254033162,301.6041576042459,0,-5.880759979870772e-06,-0.0009530232357905553,0.45,3420,-3420,0.45,0,-550,0,117.8538152058574,2.828491564940578,323.1470974293497,4.524059364010895,306.1282169682568,-441.0009126352071,550,-5.880759979870772e-06,-94.09215967793236,-0.0009530232357905553,-2334.90692768686,-211.9459748837897,-1.695567799070318,0.45,-3420,301.6041576042459,0.45,0.45,550,301.6041576042459,117.8538152058574,306.1282169682568,-117.8538152058574,303.2997254033162,323.1470974293497,306.1282169682568,-323.1470974293497,301.6041576042459,306.1282169682568,306.1282169682568,0,0,303.2997254033162,301.6041576042459,-211.9459748837897,301.6041576042459,211.9459748837897,303.2997254033162
54,0.45,303.2996900011796,301.5984409622,0,-5.920657884133096e-06,-0.0009525175117601778,0.45,3420,-3420,0.45,0,-550,0,117.9256037263272,2.830214489431853,323.6759663151076,4.531463528411507,306.1299044906115,-441.6015700414349,550,-5.920657884133096e-06,-94.73052614612953,-0.0009525175117601778,-2333.667903812436,-212.6561298724567,-1.701249038979654,0.45,-3420,301.5984409622,0.45,0.45,550,301.5984409622,117.9256037263272,306.1299044906115,-117.9256037263272,303.2996900011796,323.6759663151076,306.1299044906115,-323.6759663151076,301.5984409622,306.1299044906115,306.1299044906115,0,0,303.2996900011796,301.5984409622,-212.6561298724567,301.5984409622,212.6561298724567,303.2996900011796
60,0.45,303.2996543599501,301.5927273517423,0,-5.960529107801094e-06,-0.0009520120373236377,0.45,3420,-3420,0.45,0,-550,0,117.9974103011574,2.831937847227778,324.2046325311126,4.538864855435577,306.1315922071778,-442.20204283227,550,-5.960529107801094e-06,-95.3684657248175,-0.0009520120373236377,-2332.429491442912,-213.3658760259749,-1.706927008207799,0.45,-3420,301.5927273517423,0.45,0.45,550,301.5927273517423,117.9974103011574,306.1315922071778,-117.9974103011574,303.2996543599501,324.2046325311126,306.1315922071778,-324.2046325311126,301.5927273517423,306.1315922071778,306.1315922071778,0,0,303.2996543599501,301.5927273517423,-213.3658760259749,301.5927273517423,213.3658760259749,303.2996543599501
66,0.45,303.2996184796277,301.5870167728729,0,-6.000373651711873e-06,-0.0009515068124902973,0.45,3420,-3420,0.45,0,-550,0,118.0692349169613,2.833661638007072,324.7330960544202,4.546263344761883,306.1332801176347,-442.8023309713816,550,-6.000373651711873e-06,-96.00597842738998,-0.0009515068124902973,-2331.191690601228,-214.0752133443513,-1.71260170675481,0.45,-3420,301.5870167728729,0.45,0.45,550,301.5870167728729,118.0692349169613,306.1332801176347,-118.0692349169613,303.2996184796277,324.7330960544202,306.1332801176347,-324.7330960544202,301.5870167728729,306.1332801176347,306.1332801176347,0,0,303.2996184796277,301.5870167728729,-214.0752133443513,301.5870167728729,214.0752133443513,303.2996184796277
72,0.45,303.2995823602124,301.5813092255917,0,-6.040191516702247e-06,-0.0009510018372695249,0.45,3420,-3420,0.45,0,-550,0,118.14107756035,2.835385861448401,325.2613568620778,4.553658996069089,306.1349682216608,-443.4024344224278,550,-6.040191516702247e-06,-96.64306426723594,-0.0009510018372695249,-2329.954501310336,-214.784141827586,-1.718273134620688,0.45,-3420,301.5813092255917,0.45,0.45,550,301.5813092255917,118.14107756035,306.1349682216608,-118.14107756035,303.2995823602124,325.2613568620778,306.1349682216608,-325.2613568620778,301.5813092255917,306.1349682216608,306.1349682216608,0,0,303.2995823602124,301.5813092255917,-214.784141827586,301.5813092255917,214.784141827586,303.2995823602124
