scenario,dt_minutes,duration_hours,setpoint_c,initial_zone_c,outdoor_c,outdoor_amplitude_c,outdoor_peak_hour,internal_load_w,occupied_load_add_w,occupied_start_hour,occupied_end_hour,door_open_hour,door_open_duration_minutes,door_open_load_w,setpoint_change_hour,setpoint_after_c,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,sensor_noise_std_c,sensor_filter_tau_minutes,command_slew_rate_per_minute,command_quantization,minimum_running_command,minimum_on_minutes,minimum_off_minutes
1,1.0,5.0,24.65470686631479,26.13262716167856,35.561467899601595,1.9372407322607237,7.973001700606356,702.1316488322371,0.0,1.0,4.0,2.9401871818771337,36.77627303044069,2316.7408757654375,,,2884232.3424667427,10648738.35349807,0.01107141370126674,0.008634564975148286,0.016927195293934376,9237.038449511772,5.250808504862684,8.80042761601559,0.06766292750329972,2.0,0.05,0.01,0.25,5.0,3.0
2,1.0,5.0,23.638761056012665,23.7770995706636,33.83412256524271,1.3567113038875505,3.93821807754924,1773.7911242851612,2563.8714034990767,0.8853794852338586,4.596957871301475,,0.0,0.0,,,2957763.015523169,9262957.723764963,0.01809559024420744,0.009366886376245886,0.024578544242866263,8774.807852056007,7.068694891805689,7.422530140094315,0.05433697232817419,2.0,0.05,0.01,0.25,5.0,3.0
3,1.0,5.0,24.96248510350002,27.297714021147957,30.91375447362122,1.0606134938675973,3.67055367260464,624.1678369960558,0.0,1.0,4.0,,0.0,0.0,1.564608762962374,26.46885266604115,2786008.0323096556,14529680.68499865,0.010500125009029687,0.010339398665634603,0.028304151201528856,6363.697558900812,5.32703661472843,2.81894631938939,0.029804483028542567,2.0,0.05,0.01,0.25,5.0,3.0
4,1.0,5.0,24.29876492888096,24.995133063295388,38.30637613668216,1.8940033748177107,5.0466334178020995,834.6611793552174,0.0,1.0,4.0,3.1526163170707777,27.644242065495515,1942.2039416292087,,,1354510.0564205553,7471649.508398212,0.01014779635276045,0.008954464692280156,0.015100736515961027,7068.59135034343,5.392560822162891,9.410227597129673,0.06994243586552115,2.0,0.05,0.01,0.25,5.0,3.0
5,1.0,5.0,24.130035501031728,27.3553483431173,34.37088924067704,1.7842678345394811,7.082901478195216,678.6963364215696,0.0,1.0,4.0,,0.0,0.0,2.7191515008275786,25.05812934811999,1429714.8725306182,8254726.525850306,0.019791201119195564,0.010013493829964745,0.024624101944780208,4650.50978265494,5.762646852809279,7.130433839687463,0.030773730114748262,2.0,0.05,0.01,0.25,5.0,3.0
6,1.0,5.0,24.699135896404172,25.415033096657037,33.12008666606444,3.057437058886917,2.0315918273934486,1028.3296673583775,0.0,1.0,4.0,,0.0,0.0,3.2636852551482987,23.244026962422964,3021239.559303743,15966109.558924548,0.011689307749752494,0.010164429041780356,0.018473094026431748,8858.228627229786,3.886248434213563,3.7209472396289573,0.03228670301661003,2.0,0.05,0.01,0.25,5.0,3.0
7,1.0,5.0,22.592847408912363,21.12236518266981,34.62253487788189,2.7148999158581772,3.351243139943551,365.80197055509507,0.0,1.0,4.0,,0.0,0.0,,,1798038.765139727,12674089.671083666,0.010112543933706565,0.008498205929091535,0.020784817853285766,8794.829007491457,5.714370832039608,2.4334453269541987,0.060784995211340516,2.0,0.05,0.01,0.25,5.0,3.0
8,1.0,5.0,24.308256629044955,19.851261757862456,35.17072171951282,2.064970925537136,5.630337522979108,629.7896103295086,0.0,1.0,4.0,,0.0,0.0,0.3691125609531971,23.43286261946077,1976076.3578082253,18651454.181053817,0.011923266641468692,0.00666000100754917,0.019800101657097096,4859.940199727213,6.692101813495091,8.910634751800618,0.03889764914905832,2.0,0.05,0.01,0.25,5.0,3.0
9,1.0,5.0,23.34601683493779,23.064484472983324,30.79882506345668,2.245500968278683,5.418165646842848,1830.6394336321482,964.6973873751065,1.314946888646848,3.9280762155592646,,0.0,0.0,,,2661718.4772313433,8487107.162851045,0.01554298624863884,0.010009361535633143,0.030520855947371157,9970.303075088053,8.50728887004962,4.477294460510744,0.055630848960409006,2.0,0.05,0.01,0.25,5.0,3.0
10,1.0,5.0,25.364076863222827,29.075827227810606,37.56903870557692,0.46065535532907004,7.070445925247317,1757.6339852765998,0.0,1.0,4.0,,0.0,0.0,3.6348445134349383,26.961683670225817,2858467.9949615165,14642751.620378021,0.00913927370489343,0.0044835435750811715,0.025474621522246464,7556.4493316462185,4.392355909367873,2.381944543017961,0.03526991873485431,2.0,0.05,0.01,0.25,5.0,3.0
11,1.0,5.0,25.29487664834823,27.26511294071937,31.645494240679408,1.5410971351586564,3.43738377097714,466.0081692734059,0.0,1.0,4.0,,0.0,0.0,,,1426575.7979697343,9074173.016835742,0.012302810460300156,0.008895613851930769,0.017153214064787987,6227.59604311707,2.2238136597380924,5.610097530674779,0.02577752349211075,2.0,0.05,0.01,0.25,5.0,3.0
12,1.0,5.0,22.55424960791477,19.147548259873187,37.03630064898259,1.4087440433639358,2.5802245635904737,783.869306991423,0.0,1.0,4.0,,0.0,0.0,,,2293292.8198263473,9161870.059680117,0.018396844500952685,0.009927717958578854,0.026259267793449063,6343.0132646893835,7.781312470405016,7.150919418922392,0.07290438474506536,2.0,0.05,0.01,0.25,5.0,3.0
13,1.0,5.0,22.838196460138764,23.66190429674807,32.213755286277795,0.75251413074558,6.030590975667709,1398.0362949558482,0.0,1.0,4.0,,0.0,0.0,1.701260244437211,21.11109582646493,1313259.4936944759,13058049.662085606,0.012502391359823516,0.010974588669263239,0.012895707659860206,5926.131095018565,11.518538897680003,9.00928610846535,0.03266582011379162,2.0,0.05,0.01,0.25,5.0,3.0
14,1.0,5.0,23.6101421930669,23.5847812194562,37.7619402661798,0.013069847182265837,6.980286378810473,908.5977035522031,0.0,1.0,4.0,,0.0,0.0,1.2633832431843195,21.57767717749374,1952088.6526376018,10529717.240583315,0.009461572656373237,0.007811281765411636,0.02932514922858391,9184.866561978026,6.23821731959432,5.78429034149837,0.047834339962992994,2.0,0.05,0.01,0.25,5.0,3.0
15,1.0,5.0,24.009747960150737,23.87085295704856,34.54429412716168,0.5091098381632442,3.1547809698099942,1328.8535110745368,0.0,1.0,4.0,3.3053453488102162,34.33142706835423,3921.7365460715278,,,1353186.1846919633,19854089.3647049,0.018307997239533504,0.010365220222831989,0.03112857473630624,8175.992870953609,4.015634614520156,8.630072931187302,0.07257933195110236,2.0,0.05,0.01,0.25,5.0,3.0
16,1.0,5.0,24.555595630777688,20.284419160878418,38.69627347813095,3.210087206174983,5.775357526946062,1730.3019113632652,0.0,1.0,4.0,,0.0,0.0,0.3242183588483761,23.631838169764023,2408158.8562758463,16950827.29520469,0.016518264191979992,0.004794632558520812,0.01368050225805263,9824.767893816886,10.310967225303575,5.5772289285328585,0.03630356728951416,2.0,0.05,0.01,0.25,5.0,3.0
17,1.0,5.0,22.768029276585974,26.970342824287222,31.429113207908582,0.04127908939877051,3.1544128639118636,1281.7868326570879,0.0,1.0,4.0,,0.0,0.0,,,1945321.0880494392,13595018.074515305,0.013147028421226257,0.006064048513771639,0.02429016578834938,7648.342705334677,3.437698295453375,8.018503027214688,0.06595998359558536,2.0,0.05,0.01,0.25,5.0,3.0
18,1.0,5.0,23.490806510007946,25.71928174602324,34.32211601259911,2.1878341331163345,7.383282805817453,1110.239627632237,0.0,1.0,4.0,,0.0,0.0,,,2284846.2656035265,15545309.65762603,0.018489398374888895,0.004605013226936811,0.026849505413731253,9422.203586608492,9.121600700271655,5.279404857491982,0.07214768873276413,2.0,0.05,0.01,0.25,5.0,3.0
19,1.0,5.0,24.10599392664055,22.434338625894153,35.577250150922566,2.4221124230864373,3.203640343921971,1261.2841969505132,0.0,1.0,4.0,,0.0,0.0,,,1695884.2268200268,12945856.50632788,0.012218397395884876,0.006592147304267358,0.02063305634210085,6494.625208920246,2.7464802480767876,4.222796471880513,0.05789614727078846,2.0,0.05,0.01,0.25,5.0,3.0
20,1.0,5.0,24.270076328388278,24.814742789202388,35.07968218029751,0.5607421185024559,5.675237625638185,848.1486666097637,1692.5502430529914,0.6834898151266284,3.308872459976434,,0.0,0.0,,,1693419.0638935827,18710766.648625765,0.009700529788219774,0.009113937662715014,0.0229592071135543,4719.373968184955,4.124155689139419,5.975283521651353,0.036568079417447524,2.0,0.05,0.01,0.25,5.0,3.0
