evaluation,phase,candidate_kp,candidate_ki,objective,best_kp,best_ki,best_objective,expected_improvement,predicted_mean,predicted_std
1,IMC初始点,0.07731963456088135,0.00018712348337396496,174.36304894545538,0.07731963456088135,0.00018712348337396496,174.36304894545538,nan,nan,nan
2,随机初始探索,0.1236350636544982,9.461222559401956e-05,142.32829545758906,0.1236350636544982,9.461222559401956e-05,142.32829545758906,nan,nan,nan
3,随机初始探索,0.00217365457600719,0.023414857299636157,119.49588124419967,0.00217365457600719,0.023414857299636157,119.49588124419967,nan,nan,nan
4,随机初始探索,0.015488079942073926,0.03855789481083545,110.15812727717643,0.015488079942073926,0.03855789481083545,110.15812727717643,nan,nan,nan
5,随机初始探索,0.025272098562793874,0.05202993088105752,103.08798453421059,0.025272098562793874,0.05202993088105752,103.08798453421059,nan,nan,nan
6,随机初始探索,0.008247332760577724,0.06653054290527455,105.31534720417584,0.025272098562793874,0.05202993088105752,103.08798453421059,nan,nan,nan
7,随机初始探索,1.2765369123147352,0.02232631246389458,53.653449844666625,1.2765369123147352,0.02232631246389458,53.653449844666625,nan,nan,nan
8,贝叶斯 EI 迭代,1.3189634998229611,0.009348569128710637,53.02585206593628,1.3189634998229611,0.009348569128710637,53.02585206593628,4.632489236540334,66.49540373480548,24.41253352549026
9,贝叶斯 EI 迭代,1.4288312851597502,0.00012589552635947342,53.94899514838793,1.3189634998229611,0.009348569128710637,53.02585206593628,4.534147231599353,76.95943269458155,33.06485883162829
10,贝叶斯 EI 迭代,1.4968911566317682,0.027937329238625325,55.23868143189939,1.3189634998229611,0.009348569128710637,53.02585206593628,2.206300555479067,52.79462728538001,5.248449532131657
11,贝叶斯 EI 迭代,0.9607968716169869,2.20347336505377e-05,50.699790530979215,0.9607968716169869,2.20347336505377e-05,50.699790530979215,3.4090507407852777,60.382383459791846,16.12367455886165
