episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios
1.0,240.0,0.25,-28.808695769103295,-28.808695769103295,0.5868258693151877,6.0,24.0,6.0,8.0,6.0,0.4438880900132216,0.002736493871146307,0.45082372186615355,0.0023073888648908226,nan,nan,nan,nan,inf,38.0,10.0
2.0,480.0,0.24966666666666668,-10.88483826013429,-19.84676701461879,0.23516788148925408,6.0,24.0,7.0,9.333333333333334,2.0,0.4444948283506551,0.002673636708933799,0.40168393618274284,0.00295011962292343,nan,nan,nan,nan,inf,38.0,10.0
3.0,720.0,0.24933333333333332,-253.64525336019418,-97.77959579647727,5.275567192875488,21.0,84.0,29.0,38.666666666666664,16.0,0.42656933314753753,0.0028109046101310446,0.45082372186615355,0.003015295768639328,nan,nan,nan,nan,inf,38.0,10.0
4.0,960.0,0.249,-129.5882904263263,-105.73176945393952,2.6133306264718468,23.0,92.0,33.0,44.0,7.0,0.4627430852288668,0.0029206533047350797,0.4057413496795382,0.0027137661917753953,nan,nan,nan,nan,inf,38.0,10.0
5.0,1200.0,0.24866666666666667,-36.63724354441749,-91.91286427203511,0.733903096147902,23.0,92.0,34.0,45.33333333333333,6.0,0.44324705431287686,0.0027730079199511236,0.5822243964555025,0.002538127751379905,nan,nan,nan,nan,inf,38.0,10.0
6.0,1440.0,0.24833333333333332,-245.62559337829313,-117.53165245641145,4.976976451531855,23.0,92.0,34.0,45.33333333333333,4.0,0.45604691780211687,0.0029984124660773965,0.5274637545833997,0.003045753301655887,nan,nan,nan,nan,inf,38.0,10.0
7.0,1680.0,0.248,-101.13971663781273,-115.18994733946877,2.0667741571984806,23.0,92.0,35.0,46.666666666666664,6.0,0.44970782984076524,0.0029354247995982143,0.3976670968209155,0.002741177971490298,nan,nan,nan,nan,inf,38.0,10.0
8.0,1920.0,0.24766666666666667,-395.1728456580365,-150.18780962928975,8.072946384488398,23.0,92.0,35.0,46.666666666666664,5.0,0.43116103235710507,0.002924583908081084,0.4959060940527689,0.003250820521127747,nan,nan,nan,nan,inf,38.0,10.0
9.0,2160.0,0.24733333333333332,-40.602237195465854,-138.01163491442043,0.7785675282098706,23.0,92.0,35.0,46.666666666666664,3.0,0.42680652387999873,0.002928384149647252,0.44553443254935904,0.0027640211212527173,nan,nan,nan,nan,inf,38.0,10.0
10.0,2400.0,0.247,-115.97761598258748,-135.80823302123713,2.3365204903875187,23.0,92.0,35.0,46.666666666666664,6.0,0.4395315042237781,0.0027738621783908353,0.4057413496795382,0.002741177971490298,nan,nan,nan,nan,inf,38.0,10.0
11.0,2640.0,0.24666666666666667,-125.0958216654692,-134.83437744344005,2.638473286356958,23.0,92.0,35.0,46.666666666666664,9.0,0.4380153324288066,0.002920553652824194,0.44631548464749204,0.003378248037086655,nan,nan,nan,nan,inf,38.0,10.0
12.0,2880.0,0.24633333333333332,-169.35221097784142,-137.71086357130682,3.423731047087428,23.0,92.0,35.0,46.666666666666664,8.0,0.40300838386402527,0.003203219075600639,0.4418523298010172,0.0032395739663067156,nan,nan,nan,nan,inf,38.0,10.0
13.0,3120.0,0.246,-180.44439203624236,-140.99805806860957,3.717532517741636,23.0,92.0,35.0,46.666666666666664,9.0,0.4539889696576907,0.0028623321716144505,0.4860375627811189,0.002538127751379905,nan,nan,nan,nan,inf,38.0,10.0
14.0,3360.0,0.24566666666666667,-696.5198863105203,-180.67818865731746,13.911215313821842,23.0,92.0,35.0,46.666666666666664,3.0,0.441381940620779,0.002952587624373984,0.44631548464749204,0.002985142810952935,nan,nan,nan,nan,inf,38.0,10.0
15.0,3600.0,0.24533333333333332,-94.44207440853101,-174.92911437406505,2.0458436793955532,23.0,92.0,35.0,46.666666666666664,7.0,0.43900295313638255,0.002765402736993471,0.45082372186615355,0.0027363809100401904,nan,nan,nan,nan,inf,38.0,10.0
16.0,3840.0,0.245,-21.298179405946538,-165.32718093855763,0.5985250414036292,23.0,92.0,35.0,46.666666666666664,3.0,0.42720098961182557,0.002705832564809219,0.4959060940527689,0.003076518486521097,nan,nan,nan,nan,inf,38.0,10.0
17.0,4080.0,0.24466666666666667,-98.65006046596969,-161.40499738134656,1.9725570905231091,23.0,92.0,35.0,46.666666666666664,2.0,0.4173327780584523,0.002756364778911294,0.44631548464749204,0.003045753301655887,nan,nan,nan,nan,inf,38.0,10.0
18.0,4320.0,0.24433333333333335,-72.13122706439147,-156.44534347484907,1.5289561225448658,23.0,92.0,35.0,46.666666666666664,4.0,0.4396270077541559,0.0026013228231803243,0.437433806503007,0.002709017100939789,nan,nan,nan,nan,inf,38.0,10.0
19.0,4560.0,0.244,-328.03140957877844,-165.4761890592664,6.72733805444301,23.0,92.0,36.0,48.0,6.0,0.4479666613520572,0.0030784832866703805,0.45082372186615355,0.003076518486521097,nan,nan,nan,nan,inf,38.0,10.0
20.0,4800.0,0.24366666666666667,-89.58359467113986,-161.6815593398601,2.168792195327143,23.0,92.0,36.0,48.0,6.0,0.4455636323473497,0.0027664530498292365,0.47471737912505974,0.0027640211212527173,nan,nan,nan,nan,inf,38.0,10.0
21.0,5040.0,0.24333333333333335,-32.88730752537123,-161.8854899276735,0.7371812742622367,23.0,92.0,36.0,48.0,2.0,0.4668870805088831,0.0028625427160413122,0.4057413496795382,0.003071134579169686,nan,nan,nan,nan,inf,38.0,10.0
22.0,5280.0,0.243,-238.68724311037457,-173.27561017018553,4.84004499008623,23.0,92.0,36.0,48.0,9.0,0.44185192499888354,0.0027992044690633316,0.4959060940527689,0.003076518486521097,nan,nan,nan,nan,inf,38.0,10.0
23.0,5520.0,0.24266666666666667,-58.55261892510542,-163.52097844843107,1.1856467261873849,23.0,92.0,36.0,48.0,3.0,0.42032212535208274,0.00281647618286684,0.4091225275935344,0.0033444655567157885,nan,nan,nan,nan,inf,38.0,10.0
24.0,5760.0,0.24233333333333335,-227.642693466012,-168.42369860041538,4.968008660093669,23.0,92.0,36.0,48.0,8.0,0.4507687111346306,0.0029908299331723996,0.4418523298010172,0.003076518486521097,nan,nan,nan,nan,inf,38.0,10.0
25.0,6000.0,0.242,-165.485583597517,-174.86611560307034,3.3772580226494586,23.0,92.0,36.0,48.0,13.0,0.4225045712617826,0.002783912752001077,0.437433806503007,0.0023073888648908226,nan,nan,nan,45.40959875900515,45.40959875900515,38.0,10.0
26.0,6240.0,0.24166666666666667,-99.75126675362414,-167.5723992718369,2.2612939053608643,23.0,92.0,36.0,48.0,8.0,0.47482582038058513,0.0028906160235028385,0.45082372186615355,0.002791940526517896,nan,nan,nan,nan,45.40959875900515,38.0,10.0
27.0,6480.0,0.24133333333333334,-254.8043515581346,-175.25563101785298,5.6080554794960165,23.0,92.0,36.0,48.0,8.0,0.4453197409552261,0.0031682198653652668,0.44631548464749204,0.0029851428109529355,nan,nan,nan,nan,45.40959875900515,38.0,10.0
28.0,6720.0,0.241,-92.3593920698311,-160.1149583384427,2.082199220212913,23.0,92.0,36.0,48.0,7.0,0.42306423091078244,0.002854329531470936,0.4091225275935344,0.002985142810952935,nan,nan,nan,nan,45.40959875900515,38.0,10.0
29.0,6960.0,0.24066666666666667,-65.64223241125588,-161.3669580992322,1.631502108968603,23.0,92.0,37.0,49.333333333333336,6.0,0.4558047393204289,0.0027888659706418635,0.35790038713882394,0.0026866285298576416,nan,nan,nan,nan,45.40959875900515,38.0,10.0
