episode,decision,learning_scenario,state_error_bin,state_delta_bin,state_command_bin,error_c,error_rate_c_per_min,action,target_kp_scale,target_ki_scale,applied_kp,applied_ki,reward,next_error_bin,next_delta_bin,next_command_bin,next_error_c,next_error_rate_c_per_min,td_error
1.0,1.0,8.0,1.0,2.0,0.0,-1.5563613259330324,0.0,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-2.863210467355275,1.0,3.0,0.0,-1.3481635430643806,0.04163955657373038,-2.863210527355275
1.0,2.0,8.0,1.0,3.0,0.0,-1.3481635430643806,0.04163955657373038,4.0,1.0,1.0,0.45082372186615355,0.003076518486521097,-2.124152250292907,1.0,3.0,0.0,-1.0067425259335856,0.068284203426159,-2.124152310292907
1.0,3.0,8.0,1.0,3.0,0.0,-1.0067425259335856,0.068284203426159,0.0,0.75,0.75,0.4057413496795382,0.0027688666378689877,-1.374472409355333,1.0,3.0,0.0,-0.7096184409193143,0.05942481700285427,-1.374472409355333
1.0,4.0,8.0,1.0,3.0,0.0,-0.7096184409193143,0.05942481700285427,1.0,0.75,1.0,0.36516721471158436,0.003045753301655887,-0.6197373688883807,2.0,3.0,0.0,-0.39033820840405653,0.06385604650305154,-0.6197364288883808
1.0,5.0,8.0,2.0,3.0,0.0,-0.39033820840405653,0.06385604650305154,4.0,1.0,1.0,0.40168393618274284,0.003076518486521097,-0.21324425422621668,2.0,3.0,0.0,-0.07830703321014099,0.062406235038783106,-0.21324431422621667
1.0,6.0,8.0,2.0,3.0,0.0,-0.07830703321014099,0.062406235038783106,1.0,0.75,1.0,0.36151554256446855,0.003076518486521097,-0.12373770505696173,2.0,3.0,0.0,0.23388756037549996,0.062438918717128186,-0.12373770505696173
1.0,7.0,8.0,2.0,3.0,0.0,0.23388756037549996,0.062438918717128186,3.0,1.0,0.75,0.39766709682091544,0.0027688666378689877,-0.47746007994154865,3.0,3.0,1.0,0.5555308827206886,0.06432866446903773,-0.47745913994154865
1.0,8.0,8.0,3.0,3.0,1.0,0.5555308827206886,0.06432866446903773,0.0,0.75,0.75,0.3579003871388239,0.002491979974082089,-1.0074795337574995,3.0,3.0,1.0,0.7580238513450546,0.04049859372487319,-1.0074785937574995
1.0,9.0,8.0,3.0,3.0,1.0,0.7580238513450546,0.04049859372487319,4.0,1.0,1.0,0.3936904258527063,0.002741177971490298,-1.3560693148734735,3.0,2.0,1.0,0.8449824863684476,0.017391727004678614,-1.3560693748734733
1.0,10.0,8.0,3.0,2.0,1.0,0.8449824863684476,0.017391727004678614,4.0,1.0,1.0,0.433059468437977,0.003015295768639328,-1.4446693016993093,3.0,2.0,1.0,0.8771497390670575,0.006433450539721974,-1.4446693616993092
