scenario,dt_minutes,duration_hours,setpoint_c,initial_zone_c,outdoor_c,outdoor_amplitude_c,outdoor_peak_hour,internal_load_w,occupied_load_add_w,occupied_start_hour,occupied_end_hour,door_open_hour,door_open_duration_minutes,door_open_load_w,setpoint_change_hour,setpoint_after_c,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,sensor_noise_std_c,sensor_filter_tau_minutes,command_slew_rate_per_minute,command_quantization,minimum_running_command,minimum_on_minutes,minimum_off_minutes
1,1.0,5.0,23.86778157137113,21.91153044403165,36.83574418880893,0.9817340630049396,6.091235349198347,659.4823196785921,0.0,1.0,4.0,,0.0,0.0,,,1270456.9145612312,11955312.420914836,0.009519935425569786,0.01089755213709432,0.02714148617886044,5024.404387048963,10.333060044813509,7.502555000007189,0.05774213646199315,2.0,0.05,0.01,0.25,5.0,3.0
2,1.0,5.0,22.96828195657334,23.812924149637027,36.39425662097821,1.5205645603058693,6.28257705968149,1112.0599643650366,0.0,1.0,4.0,3.4872851109118885,30.64500296312537,2965.5317523398307,,,1596397.9436741907,13076991.140172102,0.019103953737991928,0.007412123381464984,0.025566400761849323,10317.20296580005,9.316971250211221,5.485720233251092,0.05455040619943459,2.0,0.05,0.01,0.25,5.0,3.0
3,1.0,5.0,22.584369266905412,21.088359027866648,29.330869507540026,3.060554332255628,2.5046405325012966,866.7635095100379,0.0,1.0,4.0,,0.0,0.0,,,1631357.8267827565,8828088.21655548,0.00969270398215851,0.006652299010227633,0.016677699498524063,8345.685333964331,8.814020017852199,8.58113581594765,0.04430705104040737,2.0,0.05,0.01,0.25,5.0,3.0
4,1.0,5.0,22.618847499737676,23.17263610483082,32.129524857747924,1.7425710573909423,6.472120410933199,1716.6954775951017,0.0,1.0,4.0,,0.0,0.0,2.1480298488621807,21.643405865229987,1805261.6022362846,17596996.564618018,0.014211997677989873,0.009327711140969565,0.016077640672134616,5935.067904339467,3.211571812341836,7.172638643490286,0.05410218127835237,2.0,0.05,0.01,0.25,5.0,3.0
5,1.0,5.0,22.68817138817211,22.709434279288622,36.64793834405971,2.353473988075122,2.196885954558661,1191.8305382334104,0.0,1.0,4.0,,0.0,0.0,0.9697399100230334,21.080399742838082,1366670.5936810218,17123922.74719099,0.009140645794444754,0.008845416240456684,0.022315079488896248,8351.970911702443,2.6813398996555655,9.100446532756305,0.06733916860008987,2.0,0.05,0.01,0.25,5.0,3.0
6,1.0,5.0,23.06017578643376,22.84855763089715,32.495294419493774,2.6406338266304283,6.511117584916567,746.3441267283074,0.0,1.0,4.0,2.7548541869305208,48.64083327620987,1998.5272693156467,,,1303649.2090211553,10994270.954724476,0.016535744060865394,0.008380208841356231,0.014484159311912867,5637.927768700245,3.0506273005060507,4.971194987909484,0.06814165679107859,2.0,0.05,0.01,0.25,5.0,3.0
7,1.0,5.0,24.478431293576612,21.852962160664937,31.909265004322023,2.9631176326760786,6.660624581839048,838.6446783467793,0.0,1.0,4.0,,0.0,0.0,,,1941913.4112207466,19441352.10205771,0.008784956891010628,0.007207012101313517,0.01472419167795972,8979.74448787575,2.0325727784755028,6.197648300518587,0.05793868962379441,2.0,0.05,0.01,0.25,5.0,3.0
8,1.0,5.0,23.849503084719235,27.688269145770537,37.86428422546844,2.8975289633415815,2.7576017291245503,1489.4735620590166,0.0,1.0,4.0,,0.0,0.0,,,2963427.962215346,15347291.885407828,0.01294712363613594,0.00736153306166015,0.016428742594388868,9573.272007132087,2.3773894036725975,5.029287111510524,0.03145209909412566,2.0,0.05,0.01,0.25,5.0,3.0
9,1.0,5.0,23.666459152495506,24.651868060272648,29.119256487659438,1.3617686365171062,5.241786916000207,1870.2330452490535,0.0,1.0,4.0,2.645692168594988,36.86633320123802,1843.7216538689922,,,2781348.524031665,16183503.580013543,0.013107635050104802,0.01053714614526543,0.02342699127814011,8085.107900010992,4.75315817861887,6.5278427045630565,0.057930606339314204,2.0,0.05,0.01,0.25,5.0,3.0
10,1.0,5.0,22.788315032341732,22.828442409052336,33.64642835430248,1.0815955990609893,6.695064600889892,1845.3161343552765,1312.0457814648198,0.9160864726063741,4.229588269080777,,0.0,0.0,,,2819603.4988708906,17844362.584990006,0.01530790908803524,0.008761347112874594,0.020330266656424442,4925.0386151647535,9.107618993302367,3.8235407914596236,0.035416812353481035,2.0,0.05,0.01,0.25,5.0,3.0
11,1.0,5.0,25.05960713950374,26.754376312888464,35.96472972735412,0.24559493828118623,7.613241124653718,904.5101585670784,0.0,1.0,4.0,,0.0,0.0,,,2162948.0052204495,8610560.441402135,0.018443443568789103,0.009352147340661882,0.012606806312496693,6800.177462951839,11.782035127410285,8.511555359235999,0.056548076310149735,2.0,0.05,0.01,0.25,5.0,3.0
12,1.0,5.0,25.496358261420003,23.54266937160839,38.89232878157816,0.458988858471738,6.310666531978593,453.3391762890835,0.0,1.0,4.0,,0.0,0.0,,,1682466.4277632968,15549734.126984205,0.016837472823478264,0.010613149232829803,0.012294575000564644,8540.29588074156,9.92517203790252,3.3327417262268355,0.07338756463100743,2.0,0.05,0.01,0.25,5.0,3.0
13,1.0,5.0,24.533295287731985,29.81039932181582,38.10186408090795,1.7629683923764958,2.675740493033702,1302.6420064670833,0.0,1.0,4.0,,0.0,0.0,,,1332310.7643204376,17203805.47332129,0.01649029498389891,0.009867695903724438,0.024965807179459704,8440.441236078674,5.313635153839601,6.319086806419686,0.05061912208517846,2.0,0.05,0.01,0.25,5.0,3.0
14,1.0,5.0,23.78963816563598,24.836571855661024,30.935245785855404,0.5649492015833232,4.891608726031093,1167.1223495401373,0.0,1.0,4.0,,0.0,0.0,2.8816781590674827,25.82771997390717,1967864.9130431653,9277418.547768876,0.011789367271872799,0.007948827439479896,0.020077629459025848,6371.254931321264,4.2957987753438145,5.443280170371651,0.07271099280226365,2.0,0.05,0.01,0.25,5.0,3.0
