component,index,value,meaning
FNN_error_center,0,-3.0,"Tzone-Tsetpoint, °C"
FNN_error_center,1,-0.75,"Tzone-Tsetpoint, °C"
FNN_error_center,2,0.0,"Tzone-Tsetpoint, °C"
FNN_error_center,3,1.5,"Tzone-Tsetpoint, °C"
FNN_error_center,4,5.0,"Tzone-Tsetpoint, °C"
FNN_error_rate_center,0,-0.3,"error rate, °C/min"
FNN_error_rate_center,1,-0.05,"error rate, °C/min"
FNN_error_rate_center,2,0.0,"error rate, °C/min"
FNN_error_rate_center,3,0.05,"error rate, °C/min"
FNN_error_rate_center,4,0.3,"error rate, °C/min"
RL_error_edge,0,-2.0,"Tzone-Tsetpoint bin edge, °C"
RL_error_edge,1,-0.5,"Tzone-Tsetpoint bin edge, °C"
RL_error_edge,2,0.5,"Tzone-Tsetpoint bin edge, °C"
RL_error_edge,3,2.0,"Tzone-Tsetpoint bin edge, °C"
RL_error_rate_edge,0,-0.15,"error-rate bin edge, °C/min"
RL_error_rate_edge,1,-0.03,"error-rate bin edge, °C/min"
RL_error_rate_edge,2,0.03,"error-rate bin edge, °C/min"
RL_error_rate_edge,3,0.15,"error-rate bin edge, °C/min"
RL_command_edge,0,0.05,previous applied compressor command bin edge
RL_command_edge,1,0.7,previous applied compressor command bin edge
RL_action,0,"0.75,0.75","absolute Kp,Ki target scales relative to IMC"
RL_action,1,"0.75,1","absolute Kp,Ki target scales relative to IMC"
RL_action,2,"0.75,1.3","absolute Kp,Ki target scales relative to IMC"
RL_action,3,"1,0.75","absolute Kp,Ki target scales relative to IMC"
RL_action,4,"1,1","absolute Kp,Ki target scales relative to IMC"
RL_action,5,"1,1.3","absolute Kp,Ki target scales relative to IMC"
RL_action,6,"1.3,0.75","absolute Kp,Ki target scales relative to IMC"
RL_action,7,"1.3,1","absolute Kp,Ki target scales relative to IMC"
RL_action,8,"1.3,1.3","absolute Kp,Ki target scales relative to IMC"
