episode,environment_steps,epsilon,episode_reward,moving_average_reward_20,mean_abs_td_error,visited_states,state_coverage_pct,visited_full_states,full_state_coverage_pct,greedy_policy_changes,mean_kp,mean_ki,final_kp,final_ki,validation_baseline_objective,validation_learned_objective,deployment_accepted,checkpoint_validation_objective,best_checkpoint_validation_objective,fit_scenarios,validation_scenarios,selected_policy_family
1.0,240.0,0.25,-82.49249278082357,-82.49249278082357,1.7019075023206558,9.0,36.0,10.0,13.333333333333334,9.0,0.5008681261332469,0.003627995631637323,0.451904768772001,0.0038097296460434344,nan,nan,nan,nan,inf,48.0,16.0,
2.0,480.0,0.24966666666666668,-57.920299163837065,-70.20639597233031,1.1622840668130932,9.0,36.0,10.0,13.333333333333334,1.0,0.49558370890041487,0.0035461806411288196,0.5071882926734016,0.0033442414049406725,nan,nan,nan,nan,inf,48.0,16.0,
3.0,720.0,0.24933333333333332,-63.68997662412373,-68.03425618959479,1.317561428506609,14.0,56.00000000000001,21.0,28.000000000000004,15.0,0.4863532640485218,0.0037318006621812096,0.45646946340606137,0.0035756629101625676,nan,nan,nan,nan,inf,48.0,16.0,
4.0,960.0,0.249,-157.98116220867527,-90.5209826943649,3.251550176396656,19.0,76.0,26.0,34.66666666666667,10.0,0.4885724919615049,0.003685546800736355,0.5174862694351612,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
5.0,1200.0,0.24866666666666667,-159.10560541959745,-104.23790723941143,3.1845639911378583,20.0,80.0,27.0,36.0,4.0,0.49438259882322005,0.003968726934202191,0.45190476877200086,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
6.0,1440.0,0.24833333333333332,-141.98958757052597,-110.52985396126384,2.9511339821781952,21.0,84.0,30.0,40.0,6.0,0.5119283652250785,0.0038061127726961505,0.5123114067408097,0.0034983743306183962,nan,nan,nan,nan,inf,48.0,16.0,
7.0,1680.0,0.248,-58.88762359145737,-103.15239247986291,1.1602625403158937,21.0,84.0,30.0,40.0,3.0,0.5001921744253919,0.0034539918980865092,0.5174862694351612,0.0033442414049406725,nan,nan,nan,nan,inf,48.0,16.0,
8.0,1920.0,0.24766666666666667,-63.66542214152534,-98.21652118757072,1.3095102719086162,21.0,84.0,31.0,41.333333333333336,6.0,0.48230806040674157,0.0035223019916240366,0.40671429189480085,0.0033442414049406725,nan,nan,nan,nan,inf,48.0,16.0,
9.0,2160.0,0.24733333333333332,-155.66100172026523,-104.599241246759,3.199363170895117,21.0,84.0,31.0,41.333333333333336,7.0,0.47086594759319356,0.0038423665937488485,0.5174862694351612,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
10.0,2400.0,0.247,-205.18642658095843,-114.65795978017893,4.259376036742428,22.0,88.0,33.0,44.0,9.0,0.49164422877897723,0.003750494697760042,0.3881147020763709,0.004053625945382633,nan,nan,nan,nan,inf,48.0,16.0,
11.0,2640.0,0.24666666666666667,-127.0430710715583,-115.78387898848615,2.5605828941135482,22.0,88.0,33.0,44.0,3.0,0.4581685746211768,0.003438348864778946,0.5174862694351612,0.003277691000982354,nan,nan,nan,nan,inf,48.0,16.0,
12.0,2880.0,0.24633333333333332,-172.3290288012372,-120.49597480621541,3.602813420503884,22.0,88.0,33.0,44.0,6.0,0.5384205274511311,0.0036512023620383174,0.5174862694351612,0.00367866554543474,nan,nan,nan,nan,inf,48.0,16.0,
13.0,3120.0,0.246,-59.453090496194484,-115.8003683208292,1.236810394566506,22.0,88.0,33.0,44.0,6.0,0.518271511542975,0.003729998806495174,0.6014852472355331,0.003040219459036975,nan,nan,nan,nan,inf,48.0,16.0,
