scenario,dt_minutes,duration_hours,setpoint_c,initial_zone_c,outdoor_c,outdoor_amplitude_c,outdoor_peak_hour,internal_load_w,occupied_load_add_w,occupied_start_hour,occupied_end_hour,door_open_hour,door_open_duration_minutes,door_open_load_w,setpoint_change_hour,setpoint_after_c,c_zone_j_per_k,c_wall_j_per_k,r_out_zone_k_per_w,r_zone_wall_k_per_w,r_out_wall_k_per_w,cooling_capacity_w,actuator_delay_minutes,actuator_tau_minutes,sensor_noise_std_c,sensor_filter_tau_minutes,command_slew_rate_per_minute,command_quantization,minimum_running_command,minimum_on_minutes,minimum_off_minutes
1,1.0,5.0,24.566829124012713,25.9582098625511,28.74534112961523,2.1931413676484235,6.784749052198,788.2792424984883,1119.534500506352,1.1960707968042632,4.673635237615913,,0.0,0.0,,,1108371.429106143,15975611.792443074,0.01074866457351859,0.008760420909527371,0.021789123563457462,8326.304534359904,8.976095614426988,9.845186128593728,0.06373712212312592,2.0,0.05,0.01,0.25,5.0,3.0
2,1.0,5.0,22.768029276585974,26.970342824287222,31.429113207908582,0.04127908939877051,3.1544128639118636,1281.7868326570879,0.0,1.0,4.0,,0.0,0.0,,,1945321.0880494392,13595018.074515305,0.013147028421226257,0.006064048513771639,0.02429016578834938,7648.342705334677,3.437698295453375,8.018503027214688,0.06595998359558536,2.0,0.05,0.01,0.25,5.0,3.0
3,1.0,5.0,22.856586110332874,27.56727856858464,31.36473535779941,0.08818904780616127,4.233111635391223,1433.1912770716647,0.0,1.0,4.0,,0.0,0.0,,,2073844.046480824,20700678.816050403,0.008947062851563072,0.009914455894140013,0.03195960204708603,5719.135000057063,8.955339345049591,2.094545092157099,0.027280774787400965,2.0,0.05,0.01,0.25,5.0,3.0
4,1.0,5.0,23.160726951795247,22.499608423907965,35.786374177963026,0.5810390356652596,6.067242251403856,939.0380608493475,0.0,1.0,4.0,,0.0,0.0,,,1647770.4274133486,12915610.210628908,0.017555267433464104,0.006031840435536642,0.022335313281635055,5796.254535115149,4.145705386825299,5.650780009051144,0.06267844851719065,2.0,0.05,0.01,0.25,5.0,3.0
5,1.0,5.0,22.988176276772236,18.89076293725318,31.39872480100044,3.40046247961553,3.996088755267949,1265.690048264338,0.0,1.0,4.0,,0.0,0.0,0.25072793805337906,22.1628242491361,2070234.8070893167,12022346.527466947,0.010718115615428514,0.00931253878868046,0.01613435015624752,10175.598145707467,5.87419976059391,4.49096866404354,0.03547198298425574,2.0,0.05,0.01,0.25,5.0,3.0
6,1.0,5.0,22.681455854130075,23.800515109507074,28.030230163205125,2.1376277496473417,3.1475160805093845,329.92626206040575,0.0,1.0,4.0,,0.0,0.0,2.523184244773418,24.6037860212587,2008133.77068578,15447315.70929991,0.008435342210861846,0.008356172354759338,0.027938954825631104,10386.86102512852,6.001137422434535,8.71557504847311,0.026035131506201355,2.0,0.05,0.01,0.25,5.0,3.0
7,1.0,5.0,23.986209979378685,20.58148009672632,29.54056022293508,0.10622603034439071,2.737352613230056,372.5207096942506,0.0,1.0,4.0,,0.0,0.0,,,2038282.1788417022,21010734.54543604,0.016063912702157825,0.005190577631613185,0.019215261243145647,4671.610612362258,8.510682188096979,3.634043325703397,0.028144738547183724,2.0,0.05,0.01,0.25,5.0,3.0
8,1.0,5.0,24.99733493295685,25.7335572968023,38.29902435836365,1.086995689686182,7.630047721187683,1377.2746416691582,0.0,1.0,4.0,,0.0,0.0,2.415189139631734,23.276098418700435,2865009.7153061964,15101787.338277865,0.015698090918854612,0.00455121608313744,0.017901098034803088,6555.756382128409,9.84703905549269,5.66537733757498,0.058774898814864314,2.0,0.05,0.01,0.25,5.0,3.0
9,1.0,5.0,25.381807507561152,26.38776251475666,37.62917027747869,3.1821275989669258,2.906373668460893,1282.1744880550327,0.0,1.0,4.0,3.320232359230057,15.181260303540125,3745.264392761388,,,2081824.2053042292,19151233.121502973,0.012337185315138536,0.007578381284363063,0.027298749636186802,4760.39846564982,9.341038854905992,8.80604504414422,0.05462434043736014,2.0,0.05,0.01,0.25,5.0,3.0
10,1.0,5.0,23.301173254755074,24.12310614674576,37.01196198690152,2.3021625551348004,4.569321478336888,660.3283476362133,0.0,1.0,4.0,,0.0,0.0,2.371220323731441,22.019278320960638,2530030.2930852175,10647131.12086358,0.00955218141576083,0.006664596434107519,0.02233305894749076,8423.566062851818,11.25540540755007,5.505071337322692,0.04421148847189409,2.0,0.05,0.01,0.25,5.0,3.0
11,1.0,5.0,23.216968083588316,21.63077068806788,33.067626270389994,3.3184342149378514,5.4399963056667255,1810.181390674702,0.0,1.0,4.0,,0.0,0.0,,,2636659.9626052696,9461115.49792147,0.0120056470685995,0.0069283951675868545,0.027765208095125202,6608.550128011464,9.523861357105865,7.398749020978943,0.02692050599644511,2.0,0.05,0.01,0.25,5.0,3.0
12,1.0,5.0,24.96248510350002,27.297714021147957,30.91375447362122,1.0606134938675973,3.67055367260464,624.1678369960558,0.0,1.0,4.0,,0.0,0.0,1.564608762962374,26.46885266604115,2786008.0323096556,14529680.68499865,0.010500125009029687,0.010339398665634603,0.028304151201528856,6363.697558900812,5.32703661472843,2.81894631938939,0.029804483028542567,2.0,0.05,0.01,0.25,5.0,3.0
13,1.0,5.0,23.880365943081426,25.031623655924793,31.343108367092384,3.328283684536474,3.505995479988549,400.1221923697111,1970.357710828346,2.1314743797980067,4.366177479997679,,0.0,0.0,,,3136248.3959103087,9951798.788726192,0.011849165269627383,0.010484710380937498,0.01654382306765498,9633.264014180759,6.075484931737176,5.787268765605171,0.03357846819058649,2.0,0.05,0.01,0.25,5.0,3.0
14,1.0,5.0,23.490806510007946,25.71928174602324,34.32211601259911,2.1878341331163345,7.383282805817453,1110.239627632237,0.0,1.0,4.0,,0.0,0.0,,,2284846.2656035265,15545309.65762603,0.018489398374888895,0.004605013226936811,0.026849505413731253,9422.203586608492,9.121600700271655,5.279404857491982,0.07214768873276413,2.0,0.05,0.01,0.25,5.0,3.0
